% Model:              Data taken by AP-STD
% Version:            Merged file.  See EMPHATIC DocDB 1643
% Date:               Sep 13 2023, 10:53
% Dimension:          3
% Nodes:              53742
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Bz (T)
0                         10                       -310                     5.59519e-05              -0.000592679             -0.000101945            
5                         10                       -310                     -9.06964e-06             -0.000587751             -0.000101721            
10                        10                       -310                     1.25623e-05              -0.000578725             -6.80763e-05            
15                        10                       -310                     7.86937e-06              -0.000578623             -4.3292e-05             
-15                       15                       -310                     0                        0                        0                       
-10                       15                       -310                     6.05592e-05              -0.000546482             -0.000106989            
-5                        15                       -310                     1.12705e-05              -0.000609511             -0.000125709            
0                         15                       -310                     1.97374e-05              -0.00058401              -0.000117101            
5                         15                       -310                     6.14927e-06              -0.00056914              -8.98951e-05            
10                        15                       -310                     2.95019e-05              -0.000563422             -0.000127322            
15                        15                       -310                     0                        0                        0                       
-15                       -15                      -305                     0                        0                        0                       
-10                       -15                      -305                     9.08976e-06              -0.000599543             1.78292e-05             
-5                        -15                      -305                     4.89015e-05              -0.000589703             5.11851e-05             
0                         -15                      -305                     7.50059e-07              -0.000706562             4.12862e-05             
5                         -15                      -305                     1.41277e-05              -0.000640969             6.66578e-05             
10                        -15                      -305                     -2.90956e-05             -0.00065103              0.000109359             
15                        -15                      -305                     0                        0                        0                       
-15                       -10                      -305                     2.51045e-05              -0.000590967             3.75369e-06             
-10                       -10                      -305                     2.08738e-05              -0.000614759             4.84756e-05             
-5                        -10                      -305                     1.22371e-05              -0.00062015              6.27815e-05             
0                         -10                      -305                     5.52023e-05              -0.000592291             5.48841e-05             
5                         -10                      -305                     1.18661e-05              -0.000641004             7.14772e-05             
10                        -10                      -305                     6.1542e-05               -0.000605076             6.35299e-05             
15                        -10                      -305                     5.44779e-05              -0.000626111             4.82956e-05             
-15                       -5                       -305                     5.48413e-06              -0.000624842             -5.15909e-06            
-10                       -5                       -305                     3.20893e-05              -0.000631525             -1.36154e-05            
-5                        -5                       -305                     1.0095e-05               -0.000614847             5.30545e-05             
0                         -5                       -305                     2.04645e-05              -0.000643851             -9.97431e-06            
5                         -5                       -305                     3.70504e-05              -0.000647645             2.52558e-05             
10                        -5                       -305                     1.77621e-05              -0.000591019             -1.66414e-05            
15                        -5                       -305                     2.81099e-05              -0.000591401             1.07155e-06             
-15                       0                        -305                     1.22291e-06              -0.000604212             -3.87612e-05            
-10                       0                        -305                     -1.4553e-06              -0.000615423             2.086e-05               
-5                        0                        -305                     2.64031e-05              -0.000574924             2.14886e-05             
0                         0                        -305                     5.23936e-05              -0.000603215             -8.30515e-06            
5                         0                        -305                     -9.0155e-06              -0.000604295             2.078e-06               
10                        0                        -305                     -2.1591e-05              -0.000638313             -4.15696e-05            
15                        0                        -305                     -1.42805e-05             -0.000621061             -3.46381e-06            
-15                       5                        -305                     -4.3072e-05              -0.000641973             -5.35675e-05            
-10                       5                        -305                     3.63115e-06              -0.000630242             -4.55215e-05            
-5                        5                        -305                     1.21758e-05              -0.000647119             -5.76524e-05            
0                         5                        -305                     -3.04731e-05             -0.000622769             -2.14845e-05            
5                         5                        -305                     5.67143e-05              -0.000660457             -8.38568e-05            
10                        5                        -305                     -9.04697e-06             -0.000662256             -4.27161e-05            
15                        5                        -305                     1.80795e-05              -0.000622527             -9.16747e-05            
-15                       10                       -305                     3.24518e-05              -0.00064038              -7.88323e-05            
-10                       10                       -305                     3.67082e-05              -0.000616338             -8.73571e-05            
-5                        10                       -305                     3.08473e-05              -0.000583315             -7.51453e-05            
0                         10                       -305                     5.45602e-05              -0.000613856             -8.67814e-05            
5                         10                       -305                     1.90964e-05              -0.000614013             -0.000106146            
10                        10                       -305                     -9.28788e-07             -0.00063013              -8.50114e-05            
15                        10                       -305                     -1.01261e-05             -0.000630251             -9.42089e-05            
-15                       15                       -305                     0                        0                        0                       
-10                       15                       -305                     -2.6109e-06              -0.000587754             -9.65777e-05            
-5                        15                       -305                     5.21917e-05              -0.000651736             -0.000110878            
0                         15                       -305                     -3.01481e-05             -0.000640733             -0.000110886            
5                         15                       -305                     -3.81246e-06             -0.000602424             -8.94548e-05            
10                        15                       -305                     -8.88721e-06             -0.000644384             -0.000149722            
15                        15                       -305                     0                        0                        0                       
-15                       -15                      -300                     0                        0                        0                       
-10                       -15                      -300                     3.18727e-05              -0.000686503             9.7516e-05              
-5                        -15                      -300                     7.54699e-05              -0.00065807              4.07943e-05             
0                         -15                      -300                     3.65415e-05              -0.000710412             8.29453e-05             
5                         -15                      -300                     4.50313e-05              -0.00064883              0.000100426             
10                        -15                      -300                     3.45455e-05              -0.000637188             6.37931e-05             
15                        -15                      -300                     0                        0                        0                       
-15                       -10                      -300                     0.000125164              -0.000657109             7.0279e-05              
-10                       -10                      -300                     7.07886e-05              -0.000600402             4.38467e-05             
-5                        -10                      -300                     1.25154e-05              -0.000645949             7.74182e-05             
0                         -10                      -300                     2.26658e-05              -0.00062642              5.21567e-05             
5                         -10                      -300                     1.31793e-05              -0.000630543             6.35821e-05             
10                        -10                      -300                     7.10779e-05              -0.000669135             6.85933e-05             
15                        -10                      -300                     6.57896e-05              -0.000633216             2.07629e-05             
-15                       -5                       -300                     3.62496e-05              -0.000654229             -1.11488e-05            
-10                       -5                       -300                     1.32877e-05              -0.0006717               -8.0104e-06             
-5                        -5                       -300                     1.195e-05                -0.000674147             2.9307e-05              
0                         -5                       -300                     3.26586e-05              -0.000658423             9.69061e-06             
5                         -5                       -300                     5.29098e-05              -0.000633431             1.75448e-05             
10                        -5                       -300                     5.48192e-05              -0.000634882             -4.51048e-05            
15                        -5                       -300                     3.37104e-05              -0.000661029             2.44387e-05             
-15                       0                        -300                     4.84519e-05              -0.000647842             -1.5229e-05             
-10                       0                        -300                     4.80861e-05              -0.000667866             -1.89842e-05            
-5                        0                        -300                     8.16439e-06              -0.000670045             1.76397e-05             
0                         0                        -300                     4.1806e-05               -0.000661684             -5.87606e-06            
5                         0                        -300                     6.18477e-05              -0.000669478             -5.43611e-06            
10                        0                        -300                     5.40899e-05              -0.000644859             -4.2174e-06             
15                        0                        -300                     9.61359e-06              -0.000632876             -1.09756e-05            
-15                       5                        -300                     1.41437e-05              -0.000665629             -4.35083e-05            
-10                       5                        -300                     1.84113e-05              -0.000674668             -8.18249e-05            
-5                        5                        -300                     2.2966e-05               -0.000678371             -4.80104e-05            
0                         5                        -300                     4.34931e-05              -0.000671356             -4.98021e-05            
5                         5                        -300                     4.79615e-05              -0.000713037             -4.74957e-05            
10                        5                        -300                     6.46578e-05              -0.000678087             -4.55083e-05            
15                        5                        -300                     6.7708e-05               -0.000613847             -9.18815e-05            
-15                       10                       -300                     1.24806e-05              -0.000660098             -0.000127111            
-10                       10                       -300                     2.45767e-05              -0.000662606             -6.83671e-05            
-5                        10                       -300                     4.68909e-05              -0.000642873             -8.39244e-05            
0                         10                       -300                     4.03685e-05              -0.000651817             -8.84604e-05            
5                         10                       -300                     4.47088e-05              -0.000702184             -0.00010365             
10                        10                       -300                     4.49994e-06              -0.000688147             -0.000117681            
15                        10                       -300                     4.24691e-05              -0.000632414             -6.71143e-05            
-15                       15                       -300                     0                        0                        0                       
-10                       15                       -300                     1.16601e-06              -0.000673158             -8.65543e-05            
-5                        15                       -300                     1.12776e-05              -0.000700428             -0.000157945            
0                         15                       -300                     1.65926e-05              -0.000676453             -0.000143252            
5                         15                       -300                     5.43068e-06              -0.000668842             -0.000121441            
10                        15                       -300                     -3.90687e-05             -0.00069583              -0.000170875            
15                        15                       -300                     0                        0                        0                       
-15                       -15                      -295                     0                        0                        0                       
-10                       -15                      -295                     6.8324e-05               -0.000684155             0.000196167             
-5                        -15                      -295                     5.22862e-05              -0.000708329             0.000141474             
0                         -15                      -295                     3.30756e-05              -0.00070501              0.0001429               
5                         -15                      -295                     1.92892e-05              -0.000682328             0.000128219             
10                        -15                      -295                     1.55805e-06              -0.000712146             0.000143952             
15                        -15                      -295                     0                        0                        0                       
-15                       -10                      -295                     4.35531e-05              -0.000704599             -1.91077e-05            
-10                       -10                      -295                     2.35087e-05              -0.000738632             6.98031e-05             
-5                        -10                      -295                     1.59987e-05              -0.000681908             0.000103392             
0                         -10                      -295                     -1.66003e-05             -0.000706732             6.01666e-05             
5                         -10                      -295                     2.63778e-05              -0.000702581             7.55791e-05             
10                        -10                      -295                     6.33522e-05              -0.000725365             0.000100045             
15                        -10                      -295                     -4.79847e-07             -0.000710192             7.70266e-05             
-15                       -5                       -295                     1.78181e-05              -0.000683384             2.01882e-05             
-10                       -5                       -295                     2.86464e-05              -0.00069482              3.66191e-05             
-5                        -5                       -295                     8.75878e-06              -0.000690847             1.7526e-05              
0                         -5                       -295                     3.90995e-05              -0.000687694             4.21811e-05             
5                         -5                       -295                     2.35976e-05              -0.000733536             2.64779e-05             
10                        -5                       -295                     1.94321e-05              -0.000654313             -9.58725e-06            
15                        -5                       -295                     3.7357e-05               -0.000677576             -2.69086e-06            
-15                       0                        -295                     1.53925e-05              -0.000704143             -1.56206e-05            
-10                       0                        -295                     6.24861e-06              -0.000710233             1.0806e-05              
-5                        0                        -295                     5.13231e-05              -0.000727762             -1.20905e-05            
0                         0                        -295                     1.58621e-05              -0.000714999             3.51835e-05             
5                         0                        -295                     4.44745e-05              -0.000693525             -2.87642e-05            
10                        0                        -295                     6.44633e-05              -0.000724984             -7.63842e-06            
15                        0                        -295                     -1.53153e-05             -0.000709837             -7.73793e-07            
-15                       5                        -295                     2.18749e-05              -0.000706737             -2.56707e-05            
-10                       5                        -295                     2.3301e-05               -0.000679454             -8.29209e-05            
-5                        5                        -295                     2.03284e-05              -0.000693834             -1.54669e-05            
0                         5                        -295                     8.56177e-06              -0.000697599             -3.90049e-05            
5                         5                        -295                     1.70158e-05              -0.000706218             -5.49783e-05            
10                        5                        -295                     4.67843e-05              -0.000683392             -1.96385e-05            
15                        5                        -295                     3.03408e-05              -0.000688145             -5.08464e-05            
-15                       10                       -295                     -7.25921e-06             -0.000699945             -8.35988e-05            
-10                       10                       -295                     9.80913e-06              -0.000693624             -0.000116549            
-5                        10                       -295                     4.1788e-05               -0.000732797             -0.000101551            
0                         10                       -295                     4.09168e-05              -0.000704881             -0.000100073            
5                         10                       -295                     2.71691e-05              -0.000741079             -0.000110328            
10                        10                       -295                     1.3469e-05               -0.00068043              -9.73117e-05            
15                        10                       -295                     3.86059e-05              -0.000679078             -5.14787e-05            
-15                       15                       -295                     0                        0                        0                       
-10                       15                       -295                     -9.37994e-06             -0.000722469             -0.000157943            
-5                        15                       -295                     8.53381e-06              -0.000682926             -0.000138798            
0                         15                       -295                     1.98247e-05              -0.000689143             -0.000164426            
5                         15                       -295                     3.93732e-05              -0.000660308             -0.000160222            
10                        15                       -295                     1.42015e-05              -0.000655469             -0.000147555            
15                        15                       -295                     0                        0                        0                       
-15                       -15                      -290                     0                        0                        0                       
-10                       -15                      -290                     3.93136e-05              -0.000727873             0.000148951             
-5                        -15                      -290                     1.27738e-05              -0.000729395             0.000124629             
0                         -15                      -290                     2.94514e-05              -0.000724781             0.00012725              
5                         -15                      -290                     3.96084e-05              -0.000719758             0.000129536             
10                        -15                      -290                     2.8164e-05               -0.000731891             0.000111524             
15                        -15                      -290                     0                        0                        0                       
-15                       -10                      -290                     2.50438e-05              -0.000719141             4.32561e-06             
-10                       -10                      -290                     3.69944e-05              -0.000725684             6.55529e-05             
-5                        -10                      -290                     7.38306e-05              -0.000728147             6.36658e-05             
0                         -10                      -290                     4.59799e-05              -0.000699095             7.07107e-05             
5                         -10                      -290                     5.76448e-05              -0.000724255             6.12274e-05             
10                        -10                      -290                     4.9792e-06               -0.000728069             2.84834e-05             
15                        -10                      -290                     4.53416e-05              -0.000743061             6.79265e-05             
-15                       -5                       -290                     3.48096e-05              -0.000718813             3.04141e-05             
-10                       -5                       -290                     5.57833e-05              -0.000703948             1.4585e-06              
-5                        -5                       -290                     6.76748e-05              -0.000725076             2.94371e-05             
0                         -5                       -290                     4.90052e-05              -0.000743357             5.56678e-06             
5                         -5                       -290                     3.48079e-05              -0.000752607             2.72144e-06             
10                        -5                       -290                     9.51389e-06              -0.000729366             -1.5186e-05             
15                        -5                       -290                     5.06541e-05              -0.00072798              -4.7959e-06             
-15                       0                        -290                     3.78176e-05              -0.000752271             -4.87465e-05            
-10                       0                        -290                     6.94038e-05              -0.000755905             -3.11496e-05            
-5                        0                        -290                     5.26358e-05              -0.000758932             -1.88544e-05            
0                         0                        -290                     3.11427e-05              -0.000749989             -1.69448e-05            
5                         0                        -290                     2.49683e-05              -0.000787756             -5.52352e-05            
10                        0                        -290                     5.09897e-05              -0.000789144             -1.97381e-05            
15                        0                        -290                     2.31743e-05              -0.000744809             -5.68083e-05            
-15                       5                        -290                     3.31516e-05              -0.000749028             -1.70792e-05            
-10                       5                        -290                     1.36452e-05              -0.000741202             -4.48444e-05            
-5                        5                        -290                     3.86955e-05              -0.000693862             -2.92222e-05            
0                         5                        -290                     4.29248e-05              -0.000744136             -6.22997e-05            
5                         5                        -290                     1.31625e-05              -0.000749481             -6.51616e-05            
10                        5                        -290                     2.50086e-05              -0.000730125             -5.39941e-05            
15                        5                        -290                     3.11856e-05              -0.00075823              -4.38242e-05            
-15                       10                       -290                     2.76428e-06              -0.000701502             -9.37051e-05            
-10                       10                       -290                     3.6629e-05               -0.000699533             -0.00010816             
-5                        10                       -290                     7.06136e-06              -0.000702658             -6.4303e-05             
