#station        plane           sensor          efficiency
0               0               0               1
0               1               0               1
1               0               0               1
1               1               0               1
2		0		0		0.996003
2		1		0		0.993104
2		2		0		0.98847
3		0		0		0.992946
3		1		0		0.993581
3		2		0		0.994155
4		0		0		0.985816
4		1		0		0.985477
5		0		0		0.991248
5		0		1		0.994743
5		1		0		0.996377
5		1		1		0.99544
5		2		0		0.998377
5		2		1		0.999134
6		0		0		0.992439
6		0		1		0.909672
6		1		0		0.981831
6		1		1		0.96959
6		2		0		0.986941
6		2		1		0.989645
7		0		0		0.992862
7		0		1		0.971066
7		1		0		0.982245
7		1		1		0.984782
