#station        plane           sensor          efficiency
0               0               0               1
0               1               0               1
1               0               0               1
1               1               0               1
2		0		0		0.994812
2		1		0		0.993654
2		2		0		0.981992
3		0		0		0.989734
3		1		0		0.992944
3		2		0		0.992753
4		0		0		0.979018
4		1		0		0.983086
5		0		0		0.993933
5		0		1		0.993595
5		1		0		0.996912
5		1		1		0.996118
5		2		0		0.997796
5		2		1		0.994961
6		0		0		0.991713
6		0		1		0.920543
6		1		0		0.978678
6		1		1		0.955324
6		2		0		0.986503
6		2		1		0.98963
7		0		0		0.993307
7		0		1		0.975124
7		1		0		0.984915
7		1		1		0.983734
