#station	plane		sensor		efficiency
0		0		0		1
0		1		0		1
1		0		0		1
1		1		0		1
2		0		0		0.997024
2		1		0		0.993726
2		2		0		0.99045
3		0		0		0.99615
3		1		0		0.989721
3		2		0		0.991489
4		0		0		0.980268
4		1		0		0.986925
5		0		0		0.994196
5		0		1		0.988376
5		1		0		0.991097
5		1		1		0.992225
5		2		0		0.994322
5		2		1		0.993587
6		0		0		0.99779
6		0		1		0.902813
6		1		0		0.990443
6		1		1		0.980994
6		2		0		0.990568
6		2		1		0.99171
7		0		0		0.988513
7		0		1		0.971793
7		1		0		0.983894
7		1		1		0.981405
