% Model:              Derived from data taken by AP-STD
% Version:            Stitched-together map of CMSM magnet for use in Prachi's thesis
% Date:               10 May 2024, 15:46 Chicago time
% Dimension:          3
% Nodes:              4460
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (kG)             mfnc.By (kG)             mfnc.Bz (kG)
-10                       -15                      -130                     -0.00334258              0.102052                 -0.0382915              
-5                        -15                      -130                     -0.00175073              0.103067                 -0.0374712              
0                         -15                      -130                     -0.000934625             0.103293                 -0.0377589              
5                         -15                      -130                     0.000919463              0.102743                 -0.0363315              
10                        -15                      -130                     0.00196693               0.102681                 -0.035473               
15                        -15                      -130                     0                        0                        0                       
-15                       -10                      -130                     -0.00329307              0.103538                 -0.0262365              
-10                       -10                      -130                     -0.00233891              0.105062                 -0.0261022              
-5                        -10                      -130                     -0.00167919              0.106235                 -0.0254764              
0                         -10                      -130                     -0.000299721             0.106262                 -0.0251576              
5                         -10                      -130                     0.000183862              0.106262                 -0.023921               
10                        -10                      -130                     0.00091309               0.105503                 -0.0236291              
15                        -10                      -130                     0.00192553               0.104451                 -0.0218966              
-15                       -5                       -130                     -0.0022791               0.106444                 -0.0135541              
-10                       -5                       -130                     -0.00146889              0.107575                 -0.0133399              
-5                        -5                       -130                     -0.00102375              0.108263                 -0.0132436              
0                         -5                       -130                     -0.000732872             0.10817                  -0.0125578              
5                         -5                       -130                     -0.000542012             0.107762                 -0.0121001              
10                        -5                       -130                     8.74009e-05              0.107323                 -0.0111222              
15                        -5                       -130                     0.000243287              0.106164                 -0.0103186              
-15                       0                        -130                     -0.00118576              0.106714                 -0.00115683             
-10                       0                        -130                     -0.000800753             0.107931                 -0.000869377            
-5                        0                        -130                     -0.00104783              0.108317                 -0.000152759            
0                         0                        -130                     -0.000761141             0.108784                 0.000280063             
5                         0                        -130                     -0.000951404             0.108353                 0.00118813              
10                        0                        -130                     -0.00123959              0.107405                 0.00180985              
15                        0                        -130                     -0.00117085              0.106531                 0.00230412              
-15                       5                        -130                     0.000980666              0.106376                 0.0113965               
-10                       5                        -130                     -8.32536e-06             0.10744                  0.0119823               
-5                        5                        -130                     -0.000597014             0.108355                 0.0121453               
0                         5                        -130                     -0.000457692             0.108525                 0.0129847               
5                         5                        -130                     -0.00180079              0.107736                 0.0137227               
10                        5                        -130                     -0.00158816              0.106819                 0.0138813               
15                        5                        -130                     -0.00239577              0.105345                 0.0143588               
-15                       10                       -130                     0.00212094               0.104261                 0.0236645               
-10                       10                       -130                     0.0011443                0.105551                 0.0239517               
-5                        10                       -130                     -4.73074e-05             0.105897                 0.0250047               
0                         10                       -130                     -0.00119354              0.105778                 0.0259128               
5                         10                       -130                     -0.00176929              0.105877                 0.0264824               
10                        10                       -130                     -0.00292219              0.10473                  0.0267837               
15                        10                       -130                     -0.00429892              0.103395                 0.0269257               
-15                       15                       -130                     0                        0                        0                       
-10                       15                       -130                     0.00138975               0.101877                 0.0365203               
-5                        15                       -130                     0.000532864              0.102054                 0.0372022               
0                         15                       -130                     -0.000959282             0.102719                 0.037748                
5                         15                       -130                     -0.00226803              0.102293                 0.0382167               
10                        15                       -130                     -0.0039802               0.101157                 0.0388751               
15                        15                       -130                     0                        0                        0                       
-15                       -15                      -125                     0                        0                        0                       
-10                       -15                      -125                     -0.00350604              0.11435                  -0.0437395              
-5                        -15                      -125                     -0.00186978              0.115507                 -0.0430227              
0                         -15                      -125                     -0.000763456             0.116076                 -0.0426501              
5                         -15                      -125                     0.00164843               0.115504                 -0.0420984              
10                        -15                      -125                     0.00255456               0.115236                 -0.0412659              
15                        -15                      -125                     0                        0                        0                       
-15                       -10                      -125                     -0.00387378              0.117312                 -0.0297777              
-10                       -10                      -125                     -0.00270212              0.118612                 -0.0297633              
-5                        -10                      -125                     -0.00215431              0.119353                 -0.0294273              
0                         -10                      -125                     -0.000822658             0.119516                 -0.0290971              
5                         -10                      -125                     -9.49694e-05             0.119226                 -0.0280183              
10                        -10                      -125                     0.000961206              0.118155                 -0.027094               
15                        -10                      -125                     0.0018525                0.117127                 -0.025444               
-15                       -5                       -125                     -0.00260487              0.119813                 -0.0156352              
-10                       -5                       -125                     -0.00184273              0.120881                 -0.0154895              
-5                        -5                       -125                     -0.0014064               0.121873                 -0.0149589              
0                         -5                       -125                     -0.00126227              0.122403                 -0.0143664              
5                         -5                       -125                     -0.000156355             0.121597                 -0.0141707              
10                        -5                       -125                     -0.000238916             0.121198                 -0.0126082              
15                        -5                       -125                     0.00074364               0.119619                 -0.012093               
-15                       0                        -125                     -0.00111366              0.120194                 -0.001819               
-10                       0                        -125                     -0.000902084             0.121385                 -0.000957329            
-5                        0                        -125                     -0.00116543              0.122504                 -0.000207126            
0                         0                        -125                     -0.000627224             0.122734                 0.000340228             
5                         0                        -125                     -0.000921094             0.122547                 0.00110545              
10                        0                        -125                     -0.00119154              0.120996                 0.00211648              
15                        0                        -125                     -0.00103686              0.120048                 0.0023679               
-15                       5                        -125                     0.000767417              0.119718                 0.0128684               
-10                       5                        -125                     0.000764927              0.120933                 0.0136825               
-5                        5                        -125                     8.16233e-05              0.121631                 0.013738                
0                         5                        -125                     -0.000868796             0.122158                 0.0148158               
5                         5                        -125                     -0.00120863              0.121563                 0.0155543               
10                        5                        -125                     -0.00193977              0.120513                 0.0160627               
15                        5                        -125                     -0.00246521              0.119281                 0.0166799               
-15                       10                       -125                     0.00243082               0.117177                 0.0275214               
-10                       10                       -125                     0.00127928               0.118374                 0.027727                
-5                        10                       -125                     0.00021376               0.119229                 0.0289232               
0                         10                       -125                     -0.000845002             0.119354                 0.0293276               
5                         10                       -125                     -0.00178561              0.119029                 0.0300253               
10                        10                       -125                     -0.00316383              0.118142                 0.0305779               
15                        10                       -125                     -0.00420788              0.116981                 0.0308563               
-15                       15                       -125                     0                        0                        0                       
-10                       15                       -125                     0.00178448               0.114531                 0.0421718               
-5                        15                       -125                     0.000632126              0.115447                 0.0430443               
0                         15                       -125                     -0.000909582             0.11532                  0.0434803               
5                         15                       -125                     -0.002198                0.114786                 0.0439271               
10                        15                       -125                     -0.00428626              0.113868                 0.0443424               
15                        15                       -125                     0                        0                        0                       
-15                       -15                      -120                     0                        0                        0                       
-10                       -15                      -120                     -0.00389579              0.128547                 -0.0506458              
-5                        -15                      -120                     -0.00234328              0.129272                 -0.0502619              
0                         -15                      -120                     -0.000351526             0.130316                 -0.0495486              
5                         -15                      -120                     0.00196766               0.13033                  -0.0484319              
10                        -15                      -120                     0.00341447               0.12966                  -0.0473416              
15                        -15                      -120                     0                        0                        0                       
-15                       -10                      -120                     -0.0043453               0.13175                  -0.0345186              
-10                       -10                      -120                     -0.00303175              0.133527                 -0.0342348              
-5                        -10                      -120                     -0.00197068              0.134494                 -0.0342425              
0                         -10                      -120                     -0.000618164             0.134626                 -0.0332825              
5                         -10                      -120                     0.00066291               0.134572                 -0.0325518              
10                        -10                      -120                     0.00163854               0.133161                 -0.0310319              
15                        -10                      -120                     0.0026415                0.132249                 -0.0294268              
-15                       -5                       -120                     -0.002712                0.134518                 -0.0185661              
-10                       -5                       -120                     -0.0021992               0.136593                 -0.0182237              
-5                        -5                       -120                     -0.00181559              0.13772                  -0.0175425              
0                         -5                       -120                     -0.000798671             0.137513                 -0.0162978              
5                         -5                       -120                     8.40214e-05              0.137124                 -0.0159359              
10                        -5                       -120                     0.000295861              0.136129                 -0.0141247              
15                        -5                       -120                     0.000397867              0.134233                 -0.013914               
-15                       0                        -120                     -0.00108271              0.13595                  -0.00159751             
-10                       0                        -120                     -0.000736315             0.137246                 -0.000840805            
-5                        0                        -120                     -0.00102141              0.138483                 -0.000231427            
0                         0                        -120                     -0.000828019             0.138599                 0.000251889             
5                         0                        -120                     -0.000941463             0.138347                 0.00114971              
10                        0                        -120                     -0.00117498              0.13691                  0.00211783              
15                        0                        -120                     -0.00155743              0.134959                 0.0028178               
-15                       5                        -120                     0.000620326              0.135221                 0.014946                
-10                       5                        -120                     0.0007849                0.136673                 0.0153744               
-5                        5                        -120                     -0.000372529             0.137002                 0.0168383               
0                         5                        -120                     -0.000985067             0.137042                 0.0176056               
5                         5                        -120                     -0.00165187              0.13705                  0.0178316               
10                        5                        -120                     -0.0024686               0.136096                 0.018625                
15                        5                        -120                     -0.00282997              0.134114                 0.019339                
-15                       10                       -120                     0.00290141               0.132658                 0.0313749               
-10                       10                       -120                     0.00152786               0.133649                 0.032199                
-5                        10                       -120                     0.000105806              0.134537                 0.0333311               
0                         10                       -120                     -0.00120487              0.134763                 0.0340478               
5                         10                       -120                     -0.00246748              0.133925                 0.0349417               
10                        10                       -120                     -0.00342812              0.132921                 0.0352255               
15                        10                       -120                     -0.00469836              0.13137                  0.0358264               
-15                       15                       -120                     0                        0                        0                       
-10                       15                       -120                     0.00234443               0.129034                 0.0480377               
-5                        15                       -120                     0.000975018              0.129765                 0.0496842               
0                         15                       -120                     -0.000989025             0.129851                 0.0507586               
5                         15                       -120                     -0.0030333               0.129289                 0.0509674               
10                        15                       -120                     -0.00471467              0.128315                 0.0510835               
15                        15                       -120                     0                        0                        0                       
-15                       -15                      -115                     0                        0                        0                       
-10                       -15                      -115                     -0.00482698              0.145629                 -0.0585473              
-5                        -15                      -115                     -0.0026902               0.146797                 -0.0580479              
0                         -15                      -115                     -0.00027111              0.146993                 -0.0570776              
5                         -15                      -115                     0.00130713               0.147108                 -0.0562619              
10                        -15                      -115                     0.00376548               0.146237                 -0.0547613              
15                        -15                      -115                     0                        0                        0                       
-15                       -10                      -115                     -0.0054214               0.149375                 -0.0398833              
-10                       -10                      -115                     -0.00374025              0.150866                 -0.0400154              
-5                        -10                      -115                     -0.0024311               0.152112                 -0.0394597              
0                         -10                      -115                     -0.000754217             0.152978                 -0.0385212              
5                         -10                      -115                     0.000569334              0.152544                 -0.0376433              
10                        -10                      -115                     0.00150738               0.151497                 -0.0361879              
15                        -10                      -115                     0.00305765               0.149789                 -0.0338059              
-15                       -5                       -115                     -0.00276849              0.152118                 -0.0213092              
-10                       -5                       -115                     -0.00248465              0.154385                 -0.0206874              
-5                        -5                       -115                     -0.00219984              0.155728                 -0.0199504              
0                         -5                       -115                     -0.00106615              0.155628                 -0.0191721              
5                         -5                       -115                     0.000167555              0.15528                  -0.0179343              
10                        -5                       -115                     0.000479011              0.154179                 -0.0168629              
15                        -5                       -115                     0.000624134              0.152089                 -0.0159138              
-15                       0                        -115                     -0.00126698              0.154018                 -0.00201163             
-10                       0                        -115                     -0.0013595               0.154908                 -0.00120534             
-5                        0                        -115                     -0.00177927              0.156114                 -0.000577032            
0                         0                        -115                     -0.00174381              0.156605                 0.000421689             
5                         0                        -115                     -0.00125014              0.156233                 0.0012637               
10                        0                        -115                     -0.00150484              0.155434                 0.00218664              
15                        0                        -115                     -0.00153448              0.153021                 0.00354486              
-15                       5                        -115                     0.000829081              0.152994                 0.0175192               
-10                       5                        -115                     9.35293e-06              0.154182                 0.0184973               
-5                        5                        -115                     -0.000729514             0.155244                 0.0195228               
0                         5                        -115                     -0.00121739              0.155414                 0.0203955               
5                         5                        -115                     -0.00203238              0.154801                 0.0212756               
10                        5                        -115                     -0.00320892              0.153442                 0.0223129               
15                        5                        -115                     -0.00380877              0.151465                 0.0228885               
-15                       10                       -115                     0.00337123               0.149433                 0.0361357               
-10                       10                       -115                     0.00188628               0.151178                 0.0374851               
-5                        10                       -115                     0.000568485              0.15205                  0.0388509               
0                         10                       -115                     -0.00117763              0.151946                 0.0394798               
5                         10                       -115                     -0.00258531              0.151476                 0.0408716               
10                        10                       -115                     -0.00417096              0.150087                 0.0409717               
15                        10                       -115                     -0.00588543              0.148038                 0.0413622               
-15                       15                       -115                     0                        0                        0                       
-10                       15                       -115                     0.0034389                0.14555                  0.056161                
-5                        15                       -115                     0.00134975               0.146432                 0.0574012               
0                         15                       -115                     -0.00106463              0.146488                 0.0586655               
5                         15                       -115                     -0.00308504              0.145803                 0.0593657               
10                        15                       -115                     -0.00525693              0.144431                 0.0593707               
15                        15                       -115                     0                        0                        0                       
-15                       -15                      -110                     0                        0                        0                       
-10                       -15                      -110                     -0.00551654              0.165138                 -0.067713               
-5                        -15                      -110                     -0.00350693              0.166957                 -0.0673105              
0                         -15                      -110                     -0.000595816             0.166897                 -0.0665908              
5                         -15                      -110                     0.00162785               0.167045                 -0.0653139              
