% Model:              Derived from data taken by AP-STD
% Version:            Stitched-together map.  See EMPHATIC DocDB 1643
% Date:               14 May 2024, 10:50 Chicago time
% Dimension:          3
% Nodes:              7791
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (kG)             mfnc.By (kG)             mfnc.Bz (kG)
10                        15                       -305                     -2.06182e-05             0.00623633               0.00158349              
15                        15                       -305                     0                        0                        0                       
-15                       -15                      -300                     0                        0                        0                       
-10                       -15                      -300                     -0.000241559             0.00684564               -0.000704434            
-5                        -15                      -300                     -0.000678141             0.00651339               -0.000486668            
0                         -15                      -300                     -0.000179433             0.00747079               -0.00055029             
5                         -15                      -300                     -0.000373575             0.00675924               -0.000962781            
10                        -15                      -300                     -6.66768e-05             0.00679215               -0.000931688            
15                        -15                      -300                     0                        0                        0                       
-15                       -10                      -300                     -0.000803548             0.00644461               -0.000320779            
-10                       -10                      -300                     -0.00057216              0.00612701               -0.000569348            
-5                        -10                      -300                     -0.000294294             0.00638191               -0.000761198            
0                         -10                      -300                     -0.000321346             0.00633547               -0.000588349            
5                         -10                      -300                     -0.000218963             0.00636263               -0.000745552            
10                        -10                      -300                     -0.000706369             0.00645243               -0.000631507            
15                        -10                      -300                     -0.000607556             0.00659759               -0.000294005            
-15                       -5                       -300                     -0.000339622             0.00638813               0.000163383             
-10                       -5                       -300                     -0.000220641             0.0066718                0.000158464             
-5                        -5                       -300                     -0.000361983             0.00667248               -0.000475488            
0                         -5                       -300                     -0.000282247             0.0066114                -0.000166789            
5                         -5                       -300                     -0.000559819             0.0065533                -0.0001842              
10                        -5                       -300                     -0.000500392             0.0061439                0.000421804             
15                        -5                       -300                     -0.000420041             0.00653399               -0.000117343            
-15                       0                        -300                     -0.000282776             0.00607482               0.000346596             
-10                       0                        -300                     -0.000353416             0.00674238               2.97148e-05             
-5                        0                        -300                     -0.000217982             0.00643883               -0.000268811            
0                         0                        -300                     -0.000574063             0.00631205               -0.000113842            
