#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0343545494   0              0              
1              0              0              0              0.0014912      0              0.0293325743   0              0              
1              1              0              0.0026559      0              0              0.0395541414   0              0              
2              0              0              0.0016148      0.0016148      0              0.0480969421   0              0              
2              1              0              0              0.0014597      0              0.0474151223   0              0              
2              2              0              0.0024605      0              0              0.0518435131   0              0              
3              0              0              0.0013826      0.0013826      0              0.0564380617   0              0              
3              1              0              0              0.0015253      0              0.0566208352   0              0              
3              2              0              0.0020342      0              0              0.0592438360   0              0              
4              0              0              0              0              0              0.0742667894   0              0              
4              1              0              0              0              0              0.0746449415   0              0              
5              0              0              0.0082387      0              0              0.1038027637   0              0              
5              0              1              0.0042071      0              0              0.0958558391   0              0              
5              1              0              0              0.003858       0              0.0985143633   0              0              
5              1              1              0              0.0022504      0              0.0976377379   0              0              
5              2              0              0.0027327      0.0027327      0              0.0971449942   0              0              
5              2              1              0.0035336      0.0035336      0              0.0998378958   0              0              
6              0              0              0.013322       0              0              0.1233005175   0              0              
6              0              1              0.010796       0              0              0.1195992102   0              0              
6              1              0              0              0.0047792      0              0.1168031761   0              0              
6              1              1              0              0.0028201      0              0.1206305342   0              0              
6              2              0              0.0051148      0.0051148      0              0.1211003596   0              0              
6              2              1              0.0052302      0.0052302      0              0.4237939627   0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
