#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .2740502972    0              0              
1              0              0              0              1.3768156000   0              1.4029329980   0              0              
1              1              0              -1.8729924000  0              0              1.3152074300   0              0              
2              0              0              -1.5043886000  1.5043886000   0              1.4657979273   0              0              
2              1              0              0              .9717849000    0              1.5268866874   0              0              
2              2              0              -2.8648851000  0              0              1.4995566006   0              0              
3              0              0              -1.9392691000  1.9392691000   0              1.4614434480   0              0              
3              1              0              0              1.0108184000   0              1.6320359019   0              0              
3              2              0              -3.9406905000  0              0              1.7120781059   0              0              
4              0              0              0              0              0              .1898495654    0              0              
4              1              0              0              0              0              .2475750633    0              0              
5              0              0              -5.8852710000  0              0              -.2429512939   0              0              
5              0              1              -4.2861410000  0              0              -.1788201279   0              0              
5              1              0              0              -4.5908529000  0              -.1684438622   0              0              
5              1              1              0              -3.3372718000  0              -.2512018861   0              0              
5              2              0              -.7834866000   .7834866000    0              -.2458561899   0              0              
5              2              1              -1.7112162000  1.7112162000   0              -.2473687985   0              0              
6              0              0              -3.6236960000  0              0              -.1916658416   0              0              
6              0              1              -2.0837990000  0              0              .0237147232    0              0              
6              1              0              0              -2.9249900000  0              -.1768778009   0              0              
6              1              1              0              -1.4094886000  0              -.1111767306   0              0              
6              2              0              .1820030000    -.1820030000   0              -.1388047555   0              0              
6              2              1              -.7170600000   .7170600000    0              .0183575678    0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
