#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0059707932   0              0              
1              0              0              0              0.00033665     0              0.0113606072   0              0              
1              1              0              0.00097354     0              0              0.0124532377   0              0              
2              0              0              0.0006222      0.0006222      0              0.0200638361   0              0              
2              1              0              0              0.00033755     0              0.0202408800   0              0              
2              2              0              0.0010316      0              0              0.0209513477   0              0              
3              0              0              0.00052725     0.00052725     0              0.0245059779   0              0              
3              1              0              0              0.00032855     0              0.0247225559   0              0              
3              2              0              0.0008516      0              0              0.0253178591   0              0              
4              0              0              0              0              0              0.0335426682   0              0              
4              1              0              0              0              0              0.0338732648   0              0              
5              0              0              0.0020484      0              0              0.0454412827   0              0              
5              0              1              0.0019892      0              0              0.0453163779   0              0              
5              1              0              0              0.00097939     0              0.0460176783   0              0              
5              1              1              0              0.00050513     0              0.0456481205   0              0              
5              2              0              0.0012511      0.0012511      0              0.0460096569   0              0              
5              2              1              0.0012316      0.0012316      0              0.0459896033   0              0              
6              0              0              0.0052868      0              0              0.0580750021   0              0              
6              0              1              0.0052658      0              0              0.0580062472   0              0              
6              1              0              0              0.0013745      0              0.0587167148   0              0              
6              1              1              0              0.0009007      0              0.0584302359   0              0              
6              2              0              0.0031542      0.0031542      0              0.0587568219   0              0              
6              2              1              0.0031098      0.0031098      0              0.0586536895   0              0              
7              0              0              0.0089601      0              0              0.0686575326   0              0              
7              0              1              0.0089671      0              0              0.0686346143   0              0              
7              1              0              0              0.0019447      0              0.0692820566   0              0              
7              1              1              0              0.0013653      0              0.0691330876   0              0              
