#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0192553926   0              0              
1              0              0              0              0.0011996      0              0.0467476265   0              0              
1              1              0              0.0038604      0              0              0.0517363700   0              0              
2              0              0              0.0024152      0.0024152      0              0.0828783451   0              0              
2              1              0              0              0.0011999      0              0.0832564972   0              0              
2              2              0              0.0040947      0              0              0.0865624637   0              0              
3              0              0              0.002042       0.002042       0              0.1007317100   0              0              
3              1              0              0              0.0011772      0              0.1014307185   0              0              
3              2              0              0.0033665      0              0              0.1041007018   0              0              
4              0              0              0              0              0              0.1370056680   0              0              
4              1              0              0              0              0              0.1381057469   0              0              
5              0              0              0.0080291      0              0              0.1834037902   0              0              
5              0              1              0.0078767      0              0              0.1831058522   0              0              
5              1              0              0              0.0031544      0              0.1857529172   0              0              
5              1              1              0              0.0017951      0              0.1850596382   0              0              
5              2              0              0.0048083      0.0048083      0              0.1862743088   0              0              
5              2              1              0.0048138      0.0048138      0              0.1857586468   0              0              
6              0              0              0.020707       0              0              0.2327583747   0              0              
6              0              1              0.020847       0              0              0.2323286563   0              0              
6              1              0              0              0.0046398      0              0.2357434848   0              0              
6              1              1              0              0.0030974      0              0.2349069664   0              0              
6              2              0              0.012275       0.012275       0              0.2361330961   0              0              
6              2              1              0.012102       0.012102       0              0.2353252256   0              0              
7              0              0              0.034989       0              0              0.2738165303   0              0              
7              0              1              0.035444       0              0              0.2731117922   0              0              
7              1              0              0              0.0067726      0              0.2768990432   0              0              
7              1              1              0              0.0046639      0              0.2759880403   0              0              
