#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .0289400982    0              0              
1              0              0              0              1.3753310000   0              1.2188582742   0              0              
1              1              0              -1.8590380000  0              0              .9824335425    0              0              
2              0              0              -1.5029440000  1.5029440000   0              1.0969162396   0              0              
2              1              0              0              .9695160000    0              1.2004267949   0              0              
2              2              0              -2.8525240000  0              0              1.0780831169   0              0              
3              0              0              -1.9366572000  1.9366572000   0              1.0421070970   0              0              
3              1              0              0              1.0096700000   0              1.2346037273   0              0              
3              2              0              -3.9318980000  0              0              1.2400124489   0              0              
4              0              0              0              0              0              -.3443247165   0              0              
4              1              0              0              0              0              -.3047619808   0              0              
5              0              0              -5.9081990000  0              0              -.8649542763   0              0              
5              0              1              -4.3065640000  0              0              -.8419500208   0              0              
5              1              0              0              -4.5903000000  0              -.8414171701   0              0              
5              1              1              0              -3.3365530000  0              -.9406878376   0              0              
5              2              0              -.7943940000   .7943940000    0              -.9340873638   0              0              
5              2              1              -1.7111020000  1.7111020000   0              -.9248455546   0              0              
6              0              0              -3.6741200000  0              0              -.9294750535   0              0              
6              0              1              -2.1275500000  0              0              -.7974770368   0              0              
6              1              0              0              -2.9117660000  0              -1.0922867407  0              0              
6              1              1              0              -1.4033770000  0              -.9807776945   0              0              
6              2              0              .1513960000    -.1513960000   0              -.9859801513   0              0              
6              2              1              -.7428150000   .7428150000    0              -.8079621644   0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
