#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .2218601444    0              0              
1              0              0              0              1.3577462400   0              1.2834770274   0              0              
1              1              0              -1.8685050000  0              0              1.1848824502   0              0              
2              0              0              -1.4895457000  1.4895457000   0              1.2822165203   0              0              
2              1              0              0              .9472573900    0              1.3095867140   0              0              
2              2              0              -2.8566290000  0              0              1.2926959182   0              0              
3              0              0              -1.9242259000  1.9242259000   0              1.2298424481   0              0              
3              1              0              0              .9925435500    0              1.3819226358   0              0              
3              2              0              -3.9316870000  0              0              1.4597990592   0              0              
4              0              0              0              0              0              -.1410564796   0              0              
4              1              0              0              0              0              -.0803630603   0              0              
5              0              0              -5.8745374000  0              0              -.6695011837   0              0              
5              0              1              -4.2773430000  0              0              -.6061320515   0              0              
5              1              0              0              -4.6227338000  0              -.5983971211   0              0              
5              1              1              0              -3.3777272000  0              -.6872055796   0              0              
5              2              0              -.7605030000   .7605030000    0              -.6990658058   0              0              
5              2              1              -1.6885010000  1.6885010000   0              -.7216403429   0              0              
6              0              0              -3.6178860000  0              0              -.7265104841   0              0              
6              0              1              -2.0816320000  0              0              -.5266628055   0              0              
6              1              0              0              -2.9598576000  0              -.7080039474   0              0              
6              1              1              0              -1.4499234000  0              -.6552345344   0              0              
6              2              0              .1986950000    -.1986950000   0              -.7073736937   0              0              
6              2              1              -.6990030000   .6990030000    0              -.5553106951   0              0              
7              0              0              -1.0297600000  0              0              -.7549864866   0              0              
7              0              1              .3703160000    0              0              -.7576220925   0              0              
7              1              0              0              -1.7272877000  0              -.6432597167   0              0              
7              1              1              0              -1.5982095000  0              -.7712584879   0              0              
