#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0040496084   0              0              
1              0              0              0              0.00021112     0              0.0052227395   0              0              
1              1              0              0.00047108     0              0              0.0059146433   0              0              
2              0              0              0.0002984      0.0002984      0              0.0090470036   0              0              
2              1              0              0              0.00020123     0              0.0090596087   0              0              
2              2              0              0.00048481     0              0              0.0094927647   0              0              
3              0              0              0.00025394     0.00025394     0              0.0110076652   0              0              
3              1              0              0              0.0001981      0              0.0110517829   0              0              
3              2              0              0.00039502     0              0              0.0114299351   0              0              
4              0              0              0              0              0              0.0150470176   0              0              
4              1              0              0              0              0              0.0152922436   0              0              
5              0              0              0.00092527     0              0              0.0205697578   0              0              
5              0              1              0.00092256     0              0              0.0205285048   0              0              
5              1              0              0              0.00053452     0              0.0211398508   0              0              
5              1              1              0              0.00028254     0              0.0206322102   0              0              
5              2              0              0.00057977     0.00057977     0              0.0208676959   0              0              
5              2              1              0.00055531     0.00055531     0              0.0207828981   0              0              
6              0              0              0.0024537      0              0              0.0263337132   0              0              
6              0              1              0.0024604      0              0              0.0263669448   0              0              
6              1              0              0              0.00072058     0              0.0271805448   0              0              
6              1              1              0              0.00042631     0              0.0266580073   0              0              
6              2              0              0.0011619      0.0011619      0              0.0270424620   0              0              
6              2              1              0.0011963      0.0011963      0              0.0969329998   0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
