#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .4608368301    0              0              
1              0              0              0              1.3365110600   0              1.2140408450   0              0              
1              1              0              -1.7793661000  0              0              1.2800134975   0              0              
2              0              0              -1.4530913100  1.4530913100   0              1.2574641704   0              0              
2              1              0              0              .9412136800    0              1.2039825710   0              0              
2              2              0              -2.7980281000  0              0              1.2933376309   0              0              
3              0              0              -1.8965607000  1.8965607000   0              1.1787328939   0              0              
3              1              0              0              .9848494400    0              1.2447765930   0              0              
3              2              0              -3.8905869000  0              0              1.4138730542   0              0              
4              0              0              0              0              0              -.3134228108   0              0              
4              1              0              0              0              0              -.2062963189   0              0              
5              0              0              -5.6765077000  0              0              -.9229335943   0              0              
5              0              1              -4.0772057000  0              0              -.8649496926   0              0              
5              1              0              0              -4.6104184180  0              -.8170292215   0              0              
5              1              1              0              -3.3567341980  0              -.9133583238   0              0              
5              2              0              -.6687774000   .6687774000    0              -.9838768232   0              0              
5              2              1              -1.5998430000  1.5998430000   0              -.9901593055   0              0              
6              0              0              -3.3747918000  0              0              -1.1036290132  0              0              
6              0              1              -1.8378778000  0              0              -.9115672577   0              0              
6              1              0              0              -2.9328933200  0              -.9955388062   0              0              
6              1              1              0              -1.4173079700  0              -.9286368163   0              0              
6              2              0              .3018565000    -.3018565000   0              -1.0644266678  0              0              
6              2              1              -.5936652000   .5936652000    0              -.9225376806   0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
