#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0326838045   0              0              
1              0              0              0              0.0020392      0              0.0785754320   0              0              
1              1              0              0.006505       0              0              0.0863676580   0              0              
2              0              0              0.0040583      0.0040583      0              0.1389766428   0              0              
2              1              0              0              0.001992       0              0.1398532682   0              0              
2              2              0              0.0069131      0              0              0.1450958320   0              0              
3              0              0              0.0034289      0.0034289      0              0.1690855749   0              0              
3              1              0              0              0.0019642      0              0.1704721328   0              0              
3              2              0              0.0056555      0              0              0.1746661838   0              0              
4              0              0              0              0              0              0.2301399576   0              0              
4              1              0              0              0              0              0.2321223915   0              0              
5              0              0              0.01349        0              0              0.3084174515   0              0              
5              0              1              0.013307       0              0              0.3083544262   0              0              
5              1              0              0              0.0052723      0              0.3123708603   0              0              
5              1              1              0              0.0029964      0              0.3107436602   0              0              
5              2              0              0.0081751      0.0081751      0              0.3135167759   0              0              
5              2              1              0.0080203      0.0080203      0              0.3123708603   0              0              
6              0              0              0.03504        0              0              0.3920119939   0              0              
6              0              1              0.035312       0              0              0.3922067995   0              0              
6              1              0              0              0.0082323      0              0.3970883999   0              0              
6              1              1              0              0.0050194      0              0.3944757124   0              0              
6              2              0              0.020686       0.020686       0              0.3975410366   0              0              
6              2              1              0.020266       0.020266       0              0.3964810647   0              0              
7              0              0              0.05928        0              0              0.4614544786   0              0              
7              0              1              0.06006        0              0              0.4619013857   0              0              
7              1              0              0              0.011223       0              0.4669090368   0              0              
7              1              1              0              0.0075728      0              0.4633968055   0              0              
