#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              .3885406717    0              0              
1              0              0              0              1.3644437200   0              1.2375275309   0              0              
1              1              0              -1.8578887000  0              0              1.2453592911   0              0              
2              0              0              -1.4863942100  1.4863942100   0              1.2345355455   0              0              
2              1              0              0              .9561831100    0              1.2298968791   0              0              
2              2              0              -2.8474075000  0              0              1.2739504581   0              0              
3              0              0              -1.9214299800  1.9214299800   0              1.1643780093   0              0              
3              1              0              0              .9991599600    0              1.2719090094   0              0              
3              2              0              -3.9259297000  0              0              1.4036560708   0              0              
4              0              0              0              0              0              -.2891156492   0              0              
4              1              0              0              0              0              -.2082638559   0              0              
5              0              0              -5.8972376000  0              0              -.8851796864   0              0              
5              0              1              -4.2992639000  0              0              -.8302244394   0              0              
5              1              0              0              -4.6025797445  0              -.7954155346   0              0              
5              1              1              0              -3.3551055420  0              -.8907431067   0              0              
5              2              0              -.7860094000   .7860094000    0              -.9303241770   0              0              
5              2              1              -1.7157920000  1.7157920000   0              -.9453093152   0              0              
6              0              0              -3.6666532000  0              0              -1.0406460546  0              0              
6              0              1              -2.1309701000  0              0              -.8418067813   0              0              
6              1              0              0              -2.9436042100  0              -.9659151694   0              0              
6              1              1              0              -1.4320996600  0              -.9252007884   0              0              
6              2              0              .1626527000    -.1626527000   0              -1.0110642437  0              0              
6              2              1              -.7358057000   .7358057000    0              -.8658939270   0              0              
7              0              0              -1.1106610000  0              0              -1.1553006389  0              0              
7              0              1              .2860590000    0              0              -1.1692979979  0              0              
7              1              0              0              -1.7169236600  0              -.9506000075   0              0              
7              1              1              0              -1.5846238700  0              -1.0890323404  0              0              
