#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0              0              0              
0              1              0              0              0              0              -.2547462030   0              0              
1              0              0              0              .3858582       0              -.2566392554   0              0              
1              1              0              -3.7157436     0              0              -.3645501268   0              0              
2              0              0              -3.3678298     3.3678298      0              -.5405627614   0              0              
2              1              0              0              1.2800922      0              -.4480644548   0              0              
2              2              0              -7.090352      0              0              -.4746038600   0              0              
3              0              0              -4.1163478     4.1163478      0              -.7993677976   0              0              
3              1              0              0              1.5767614      0              -.4461163984   0              0              
3              2              0              -8.782206      0              0              -.3266546982   0              0              
4              0              0              0              0              0              -3.7558873162  0              0              
4              1              0              0              0              0              -3.7764221236  0              0              
5              0              0              -5.37732258    0              0              -2.6756384188  0              0              
5              0              1              -3.7635446     0              0              -2.6339561975  0              0              
5              1              0              0              -4.2891751     0              -2.5278479662  0              0              
5              1              1              0              -3.0238161     0              -2.6138585570  0              0              
5              2              0              -.648172       .648172        0              -2.6449079993  0              0              
5              2              1              -1.5750924     1.5750924      0              -2.6894415450  0              0              
6              0              0              -2.5642535     0              0              -2.9716639391  0              0              
6              0              1              -1.0057645     0              0              -2.7880360651  0              0              
6              1              0              0              -2.2779679     0              -2.8254433909  0              0              
6              1              1              0              -.750221       0              -2.7761440396  0              0              
6              2              0              .42144362      -.42144362     0              -2.8609215105  0              0              
6              2              1              -.4756393      .4756393       0              -2.7570740561  0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
