#station       plane          sensor         dx             dy             dz             dphi           detheta        dpsi           

0              0              0              0              0              0              0.0000000000   0              0              
0              1              0              0              0              0              0.0169211626   0              0              
1              0              0              0              0.00072265     0              0.0273472756   0              0              
1              1              0              0.0022253      0              0              0.0319303650   0              0              
2              0              0              0.0013548      0.0013548      0              0.0478448407   0              0              
2              1              0              0              0.0007276      0              0.0478763534   0              0              
2              2              0              0.0023066      0              0              0.0501131806   0              0              
3              0              0              0.001149       0.001149       0              0.0577025795   0              0              
3              1              0              0              0.00071621     0              0.0581609458   0              0              
3              2              0              0.0018974      0              0              0.0595360445   0              0              
4              0              0              0              0              0              0.0779566376   0              0              
4              1              0              0              0              0              0.0780425813   0              0              
5              0              0              0.0046143      0              0              0.1034246116   0              0              
5              0              1              0.0043599      0              0              0.1028459242   0              0              
5              1              0              0              0.0017251      0              0.1051377554   0              0              
5              1              1              0              0.0011108      0              0.1043699920   0              0              
5              2              0              0.0026746      0.0026746      0              0.1048455469   0              0              
5              2              1              0.0026871      0.0026871      0              0.1047424145   0              0              
6              0              0              0.011586       0              0              0.1306229181   0              0              
6              0              1              0.011571       0              0              0.1303937350   0              0              
6              1              0              0              0.0025943      0              0.1323532507   0              0              
6              1              1              0              0.001775       0              0.1313677633   0              0              
6              2              0              0.0054439      0.0054439      0              0.1320725014   0              0              
6              2              1              0.0056412      0.0056412      0              0.4570942698   0              0              
7              0              0              0              0              0              0              0              0              
7              0              1              0              0              0              0              0              0              
7              1              0              0              0              0              0              0              0              
7              1              1              0              0              0              0              0              0              
