% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           08:55
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-1          -15          60.1          0.05835          -1.53127          0.07068
-1          -15          65.1          0.12074          -1.48169          0.06203
-1          -15          70.1          0.13985          -1.3804          0.05108
-1          -15          75.1          0.0981          -1.3092          0.04262
-1          -15          80.1          0.05934          -1.28598          0.03787
-1          -15          85.1          0.04144          -1.28122          0.0356
-1          -15          90.1          0.03805          -1.27988          0.03463
-1          -15          95.1          0.04436          -1.2762          0.03402
-1          -15          100.1          0.05801          -1.26775          0.03316
-1          -15          105.1          0.07835          -1.25097          0.03171
-1          -15          110.1          0.10332          -1.22284          0.02965
-1          -15          115.1          0.12648          -1.1797          0.02732
-1          -15          120.1          0.13885          -1.12586          0.02505
1          -15          120.1          0.13936          -1.12633          0.01853
1          -15          115.1          0.12695          -1.18023          0.01967
1          -15          110.1          0.10378          -1.2237          0.02053
1          -15          105.1          0.07875          -1.25225          0.02087
1          -15          100.1          0.05826          -1.26865          0.02079
1          -15          95.1          0.0445          -1.27697          0.02045
1          -15          90.1          0.03824          -1.28065          0.01988
1          -15          85.1          0.04156          -1.28218          0.01913
1          -15          80.1          0.05988          -1.28685          0.01839
1          -15          75.1          0.09932          -1.31013          0.01845
1          -15          70.1          0.14241          -1.38265          0.02138
1          -15          65.1          0.12346          -1.48517          0.02686
1          -15          60.1          0.05986          -1.53703          0.02917
-7          -13          60.1          0.03531          -1.42572          0.18634
-7          -13          65.1          0.06848          -1.3964          0.15966
-7          -13          70.1          0.08552          -1.33456          0.12849
-7          -13          75.1          0.06682          -1.28421          0.10504
-7          -13          80.1          0.04554          -1.26422          0.08997
-7          -13          85.1          0.03506          -1.25775          0.08178
-7          -13          90.1          0.03377          -1.25429          0.0773
-7          -13          95.1          0.03902          -1.24906          0.07399
-7          -13          100.1          0.04954          -1.24024          0.07016
-7          -13          105.1          0.06508          -1.22469          0.06499
-7          -13          110.1          0.0843          -1.19908          0.05823
-7          -13          115.1          0.10278          -1.16093          0.051
-7          -13          120.1          0.11355          -1.11319          0.04429
-5          -13          120.1          0.11558          -1.11522          0.03718
-5          -13          115.1          0.10493          -1.16291          0.04203
-5          -13          110.1          0.08663          -1.20157          0.04727
-5          -13          105.1          0.06717          -1.22816          0.05228
-5          -13          100.1          0.05112          -1.24484          0.05623
-5          -13          95.1          0.04026          -1.254          0.05918
-5          -13          90.1          0.03511          -1.25948          0.06177
-5          -13          85.1          0.03725          -1.26297          0.06523
-5          -13          80.1          0.04949          -1.27051          0.0717
-5          -13          75.1          0.07352          -1.29254          0.08336
-5          -13          70.1          0.09479          -1.34552          0.10117
-5          -13          65.1          0.0795          -1.41181          0.12323
-5          -13          60.1          0.04171          -1.44746          0.142
-3          -13          60.1          0.04636          -1.46231          0.10142
-3          -13          65.1          0.08717          -1.42388          0.08903
-3          -13          70.1          0.10114          -1.35381          0.0742
-3          -13          75.1          0.07846          -1.29864          0.06187
-3          -13          80.1          0.05242          -1.27477          0.05389
-3          -13          85.1          0.03879          -1.26699          0.04954
-3          -13          90.1          0.0361          -1.26258          0.04718
