% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 25 2023           11:22
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-5          -13          10          -0.33306          -0.59221          0.0309
-5          -13          5          -0.26926          -0.46699          0.02576
-5          -13          0          -0.21412          -0.37406          0.02039
-3          -13          0          -0.2156          -0.37567          0.01485
-3          -13          5          -0.27059          -0.46942          0.01881
-3          -13          10          -0.33324          -0.59535          0.02313
-3          -13          15          -0.38373          -0.76611          0.02666
-3          -13          20          -0.37693          -0.96794          0.03012
-3          -13          25          -0.30501          -1.14186          0.03801
-3          -13          30          -0.21777          -1.26224          0.05137
-3          -13          35          -0.14503          -1.34096          0.06678
-3          -13          40          -0.09145          -1.39488          0.08153
-3          -13          45          -0.05252          -1.43113          0.09381
-3          -13          50          -0.02137          -1.45598          0.10226
-3          -13          55          0.00947          -1.46756          0.10553
-3          -13          60          0.04654          -1.46085          0.10153
-3          -13          65          0.08708          -1.42222          0.08898
-3          -13          70          0.10095          -1.3531          0.07398
-1          -13          70          0.10501          -1.35757          0.04765
-1          -13          65          0.09155          -1.42895          0.05609
-1          -13          60          0.04937          -1.47046          0.06308
-1          -13          55          0.00962          -1.47807          0.06502
-1          -13          50          -0.02298          -1.46557          0.06288
-1          -13          45          -0.0554          -1.44033          0.05831
-1          -13          40          -0.0951          -1.40217          0.05225
-1          -13          35          -0.14914          -1.34747          0.04527
-1          -13          30          -0.22133          -1.26647          0.03816
-1          -13          25          -0.30669          -1.14495          0.03156
-1          -13          20          -0.37777          -0.97045          0.0255
-1          -13          15          -0.38425          -0.76822          0.01989
-1          -13          10          -0.33446          -0.59705          0.01523
-1          -13          5          -0.27188          -0.47022          0.01175
-1          -13          0          -0.21605          -0.37639          0.00911
1          -13          0          -0.21662          -0.37619          0.00335
1          -13          5          -0.27242          -0.4702          0.0046
1          -13          10          -0.33518          -0.59706          0.00714
1          -13          15          -0.38589          -0.76945          0.01251
1          -13          20          -0.37899          -0.97329          0.01984
1          -13          25          -0.30735          -1.14865          0.02369
1          -13          30          -0.22125          -1.27045          0.02364
1          -13          35          -0.14963          -1.35115          0.02264
1          -13          40          -0.09576          -1.40583          0.02228
1          -13          45          -0.0559          -1.4442          0.02251
1          -13          50          -0.02354          -1.47046          0.0233
1          -13          55          0.00976          -1.48259          0.02457
1          -13          60          0.0505          -1.47504          0.02516
1          -13          65          0.09364          -1.43235          0.02378
1          -13          70          0.10716          -1.35985          0.02052
3          -13          70          0.10665          -1.35863          -0.00708
3          -13          65          0.09326          -1.43245          -0.00991
3          -13          60          0.04975          -1.47552          -0.01437
3          -13          55          0.00931          -1.48371          -0.01802
3          -13          50          -0.02317          -1.4711          -0.01858
3          -13          45          -0.05498          -1.44576          -0.01582
3          -13          40          -0.09428          -1.4084          -0.01018
3          -13          35          -0.14699          -1.35358          -0.00243
3          -13          30          -0.21864          -1.27398          0.00668
3          -13          25          -0.3063          -1.15377          0.01401
3          -13          20          -0.37947          -0.97648          0.01303
3          -13          15          -0.38788          -0.76953          0.00437
3          -13          10          -0.33549          -0.59578          -0.00133
3          -13          5          -0.27202          -0.46903          -0.00275
3          -13          0          -0.21634          -0.37514          -0.00249
5          -13          0          -0.21521          -0.37336          -0.00831
5          -13          5          -0.27103          -0.4664          -0.01022
5          -13          10          -0.33657          -0.59273          -0.01029
5          -13          15          -0.38968          -0.76811          -0.00443
5          -13          20          -0.38064          -0.97993          0.00528
5          -13          25          -0.30197          -1.15793          0.00229
5          -13          30          -0.21275          -1.27658          -0.01351
5          -13          35          -0.14151          -1.35361          -0.03104
5          -13          40          -0.08933          -1.40523          -0.04637
5          -13          45          -0.05177          -1.44103          -0.0579
5          -13          50          -0.02183          -1.46515          -0.06412
5          -13          55          0.00856          -1.47762          -0.06421
5          -13          60          0.04695          -1.471          -0.05726
5          -13          65          0.09014          -1.42887          -0.04597
5          -13          70          0.10396          -1.3538          -0.03606
7          -13          70          0.09794          -1.34546          -0.06725
7          -13          65          0.0836          -1.42076          -0.08664
7          -13          60          0.04187          -1.4607          -0.10626
7          -13          55          0.00709          -1.46583          -0.11624
7          -13          50          -0.01999          -1.45404          -0.11601
7          -13          45          -0.04685          -1.43064          -0.10602
7          -13          40          -0.08206          -1.3978          -0.088
7          -13          35          -0.13258          -1.34927          -0.0651
7          -13          30          -0.2024          -1.27657          -0.03821
7          -13          25          -0.29469          -1.16255          -0.0121
7          -13          20          -0.38232          -0.9837          -0.00367
7          -13          15          -0.39292          -0.7653          -0.01431
7          -13          10          -0.3361          -0.588          -0.01982
7          -13          5          -0.26943          -0.46272          -0.01789
7          -13          0          -0.21392          -0.37041          -0.0142
-9          -11          0          -0.17795          -0.38095          0.02791
-9          -11          5          -0.22306          -0.47422          0.03493
-9          -11          10          -0.27408          -0.59657          0.0409
-9          -11          15          -0.31363          -0.75768          0.04063
-9          -11          20          -0.30001          -0.9435          0.03698
-9          -11          25          -0.2298          -1.10052          0.05045
-9          -11          30          -0.15181          -1.20379          0.08337
-9          -11          35          -0.09185          -1.2664          0.12037
-9          -11          40          -0.05147          -1.30482          0.15291
-9          -11          45          -0.02458          -1.32727          0.17834
-9          -11          50          -0.00561          -1.34049          0.19543
-9          -11          55          0.00981          -1.34536          0.20244
-9          -11          60          0.0235          -1.34182          0.19607
-9          -11          65          0.03982          -1.32652          0.17056
-9          -11          70          0.05236          -1.29155          0.13751
-7          -11          70          0.06291          -1.3085          0.11359
-7          -11          65          0.05174          -1.35055          0.1385
-7          -11          60          0.0299          -1.37335          0.15848
-7          -11          55          0.0099          -1.37751          0.16469
-7          -11          50          -0.00951          -1.37011          0.15885
-7          -11          45          -0.0317          -1.35306          0.14523
-7          -11          40          -0.06124          -1.32438          0.1248
-7          -11          35          -0.1041          -1.28007          0.09887
-7          -11          30          -0.16408          -1.20962          0.07037
-7          -11          25          -0.23842          -1.10113          0.04597
-7          -11          20          -0.30066          -0.94396          0.03501
-7          -11          15          -0.3114          -0.76218          0.03536
-7          -11          10          -0.27459          -0.60209          0.03418
-7          -11          5          -0.22518          -0.47858          0.02915
-7          -11          0          -0.17999          -0.38416          0.0233
-5          -11          0          -0.18132          -0.38676          0.0187
-5          -11          5          -0.22618          -0.48212          0.02339
-5          -11          10          -0.27565          -0.60635          0.0277
-5          -11          15          -0.30984          -0.7659          0.02999
-5          -11          20          -0.30098          -0.94511          0.03202
-5          -11          25          -0.24385          -1.10251          0.04098
-5          -11          30          -0.17308          -1.21522          0.05857
-5          -11          35          -0.11291          -1.29012          0.07903
-5          -11          40          -0.06881          -1.33939          0.09816
-5          -11          45          -0.03742          -1.37268          0.11342
-5          -11          50          -0.01271          -1.39273          0.12392
-5          -11          55          0.01016          -1.40133          0.12799
-5          -11          60          0.03498          -1.39579          0.12305
-5          -11          65          0.06041          -1.36866          0.10818
-5          -11          70          0.07096          -1.32175          0.09005
-3          -11          70          0.07654          -1.33006          0.06671
-3          -11          65          0.06638          -1.38008          0.07908
-3          -11          60          0.03869          -1.41122          0.08889
-3          -11          55          0.01059          -1.41766          0.09241
-3          -11          50          -0.01475          -1.40811          0.08948
-3          -11          45          -0.04117          -1.38573          0.08255
-3          -11          40          -0.07405          -1.35005          0.07228
-3          -11          35          -0.11939          -1.2979          0.05996
-3          -11          30          -0.1788          -1.2197          0.04667
-3          -11          25          -0.24782          -1.10452          0.03522
-3          -11          20          -0.30205          -0.94683          0.02816
-3          -11          15          -0.30982          -0.76826          0.02459
-3          -11          10          -0.27611          -0.60888          0.02128
-3          -11          5          -0.22721          -0.484          0.01754
-3          -11          0          -0.18235          -0.38836          0.01388
-1          -11          0          -0.18319          -0.38907          0.00904
-1          -11          5          -0.22868          -0.48501          0.01164
-1          -11          10          -0.27689          -0.61022          0.01478
-1          -11          15          -0.31007          -0.76997          0.01871
-1          -11          20          -0.30248          -0.94874          0.02326
-1          -11          25          -0.24997          -1.1072          0.02831
-1          -11          30          -0.18205          -1.22343          0.03413
-1          -11          35          -0.12269          -1.30316          0.04039
-1          -11          40          -0.07721          -1.3579          0.04642
-1          -11          45          -0.04324          -1.39364          0.05183
-1          -11          50          -0.01586          -1.41696          0.05566
-1          -11          55          0.01084          -1.42721          0.05746
-1          -11          60          0.041          -1.41986          0.05584
-1          -11          65          0.07017          -1.38774          0.05052
-1          -11          70          0.07994          -1.33498          0.04377
1          -11          70          0.08146          -1.33702          0.02019
1          -11          65          0.07157          -1.3903          0.02208
1          -11          60          0.04181          -1.42338          0.02269
1          -11          55          0.01089          -1.4309          0.02234
1          -11          50          -0.01634          -1.42064          0.02122
1          -11          45          -0.04395          -1.39735          0.02037
1          -11          40          -0.07794          -1.36035          0.01996
1          -11          35          -0.12309          -1.30554          0.02005
1          -11          30          -0.18215          -1.2258          0.02044
1          -11          25          -0.2501          -1.10947          0.02023
1          -11          20          -0.30352          -0.95056          0.01745
1          -11          15          -0.31075          -0.77075          0.01244
1          -11          10          -0.27683          -0.61037          0.00819
1          -11          5          -0.22892          -0.48492          0.00565
1          -11          0          -0.18309          -0.38896          0.00424
3          -11          0          -0.18321          -0.38785          -0.00072
3          -11          5          -0.22836          -0.48369          -0.00047
3          -11          10          -0.27772          -0.60908          0.00114
3          -11          15          -0.31317          -0.77018          0.00556
3          -11          20          -0.30407          -0.9517          0.01079
3          -11          25          -0.24795          -1.11091          0.01068
3          -11          30          -0.17995          -1.22709          0.00484
3          -11          35          -0.12135          -1.30571          -0.00254
3          -11          40          -0.07647          -1.35909          -0.00872
3          -11          45          -0.04316          -1.39535          -0.01303
3          -11          50          -0.01608          -1.41875          -0.01505
3          -11          55          0.01047          -1.4292          -0.01469
3          -11          60          0.04114          -1.42204          -0.01168
3          -11          65          0.07096          -1.38825          -0.00746
3          -11          70          0.08088          -1.33507          -0.00397
5          -11          70          0.078          -1.32926          -0.02907
5          -11          65          0.06801          -1.38233          -0.03909
5          -11          60          0.03872          -1.41437          -0.04849
5          -11          55          0.00966          -1.42076          -0.0541
5          -11          50          -0.01523          -1.41007          -0.05435
5          -11          45          -0.04063          -1.3872          -0.04937
5          -11          40          -0.07286          -1.35316          -0.04015
5          -11          35          -0.11646          -1.30147          -0.02778
5          -11          30          -0.17478          -1.22527          -0.0135
5          -11          25          -0.24467          -1.11201          -0.00059
5          -11          20          -0.30384          -0.95254          0.00323
5          -11          15          -0.31433          -0.76853          -0.0019
5          -11          10          -0.27758          -0.60613          -0.00618
5          -11          5          -0.2278          -0.48103          -0.00677
5          -11          0          -0.18263          -0.3858          -0.00569
7          -11          0          -0.18131          -0.38304          -0.01061
7          -11          5          -0.22687          -0.47717          -0.01318
7          -11          10          -0.278          -0.60178          -0.01395
7          -11          15          -0.31571          -0.76532          -0.01011
7          -11          20          -0.30301          -0.95259          -0.00525
7          -11          25          -0.23889          -1.112          -0.01408
7          -11          30          -0.16648          -1.22093          -0.03515
7          -11          35          -0.10918          -1.29306          -0.05692
7          -11          40          -0.06708          -1.34134          -0.07523
7          -11          45          -0.03681          -1.37292          -0.0894
7          -11          50          -0.01379          -1.39409          -0.0974
7          -11          55          0.00844          -1.4042          -0.09772
7          -11          60          0.03452          -1.3996          -0.0894
7          -11          65          0.06206          -1.36966          -0.07312
7          -11          70          0.07236          -1.31879          -0.05547
9          -11          70          0.0637          -1.30329          -0.08325
9          -11          65          0.05283          -1.35064          -0.11087
9          -11          60          0.02819          -1.37526          -0.13447
9          -11          55          0.00657          -1.37763          -0.14588
9          -11          50          -0.01152          -1.36744          -0.14465
9          -11          45          -0.03139          -1.34963          -0.13361
9          -11          40          -0.05915          -1.32175          -0.11521
9          -11          35          -0.09975          -1.27946          -0.0908
9          -11          30          -0.15543          -1.21315          -0.06121
9          -11          25          -0.22915          -1.11003          -0.0299
9          -11          20          -0.30208          -0.95196          -0.01437
9          -11          15          -0.31755          -0.76058          -0.01893
9          -11          10          -0.27737          -0.59549          -0.02227
9          -11          5          -0.22513          -0.47223          -0.01973
9          -11          0          -0.17971          -0.37918          -0.01562
-11          -9          0          -0.14292          -0.38684          0.02811
-11          -9          5          -0.17883          -0.48018          0.0351
-11          -9          10          -0.21827          -0.60057          0.04087
-11          -9          15          -0.24649          -0.75299          0.04071
-11          -9          20          -0.23086          -0.92254          0.03824
-11          -9          25          -0.17065          -1.06354          0.05432
-11          -9          30          -0.10694          -1.15511          0.08863
-11          -9          35          -0.06098          -1.2091          0.12432
-11          -9          40          -0.03067          -1.23988          0.15359
-11          -9          45          -0.01141          -1.25626          0.17447
-11          -9          50          0.00118          -1.2648          0.18882
-11          -9          55          0.00957          -1.26746          0.19447
-11          -9          60          0.01446          -1.26511          0.1889
-11          -9          65          0.01992          -1.25981          0.16633
-11          -9          70          0.02848          -1.24535          0.13569
-9          -9          70          0.0392          -1.26811          0.11666
-9          -9          65          0.03095          -1.29172          0.14149
-9          -9          60          0.02022          -1.30365          0.16024
-9          -9          55          0.00994          -1.3064          0.16575
-9          -9          50          -0.00225          -1.30204          0.16118
-9          -9          45          -0.01763          -1.28904          0.1486
-9          -9          40          -0.03968          -1.26633          0.12942
-9          -9          35          -0.07258          -1.22789          0.10437
-9          -9          30          -0.11965          -1.16516          0.07535
-9          -9          25          -0.17945          -1.0664          0.04902
-9          -9          20          -0.2323          -0.92415          0.03629
-9          -9          15          -0.2448          -0.75811          0.03616
-9          -9          10          -0.21825          -0.60699          0.03526
-9          -9          5          -0.18059          -0.48574          0.03037
-9          -9          0          -0.14465          -0.39108          0.02443
-7          -9          0          -0.1464          -0.39448          0.02074
-7          -9          5          -0.1817          -0.4903          0.02573
-7          -9          10          -0.21897          -0.61203          0.03001
-7          -9          15          -0.24412          -0.76225          0.03183
-7          -9          20          -0.23262          -0.92598          0.03366
-7          -9          25          -0.18685          -1.06938          0.0439
-7          -9          30          -0.12942          -1.17336          0.0636
-7          -9          35          -0.08196          -1.24266          0.08649
-7          -9          40          -0.0471          -1.28657          0.10657
-7          -9          45          -0.02302          -1.31451          0.12226
-7          -9          50          -0.00498          -1.33099          0.13294
-7          -9          55          0.01029          -1.33798          0.13677
-7          -9          60          0.02521          -1.33353          0.13166
-7          -9          65          0.03973          -1.31623          0.11693
-7          -9          70          0.04755          -1.28693          0.09768
-5          -9          70          0.054          -1.30041          0.07831
-5          -9          65          0.04633          -1.33458          0.09253
-5          -9          60          0.02913          -1.35564          0.10361
-5          -9          55          0.01077          -1.36092          0.10781
-5          -9          50          -0.00725          -1.35297          0.10494
-5          -9          45          -0.0271          -1.33371          0.09694
-5          -9          40          -0.05312          -1.30232          0.08482
-5          -9          35          -0.08874          -1.25311          0.06956
-5          -9          30          -0.13635          -1.17968          0.05308
-5          -9          25          -0.19132          -1.07224          0.0386
-5          -9          20          -0.23433          -0.92775          0.03038
-5          -9          15          -0.24337          -0.76516          0.02744
-5          -9          10          -0.21978          -0.61556          0.02485
-5          -9          5          -0.18329          -0.49304          0.02103
-5          -9          0          -0.14775          -0.39684          0.01693
-3          -9          0          -0.14854          -0.39839          0.01307
-3          -9          5          -0.18416          -0.49527          0.01636
-3          -9          10          -0.22027          -0.61791          0.01977
-3          -9          15          -0.24247          -0.76764          0.02289
-3          -9          20          -0.23512          -0.92952          0.0265
-3          -9          25          -0.1943          -1.0744          0.03281
-3          -9          30          -0.14116          -1.18427          0.04235
-3          -9          35          -0.09357          -1.26105          0.05322
-3          -9          40          -0.05718          -1.31308          0.06345
-3          -9          45          -0.03012          -1.34701          0.07173
-3          -9          50          -0.00874          -1.36811          0.07716
-3          -9          55          0.0112          -1.37653          0.07913
-3          -9          60          0.03201          -1.37049          0.07626
-3          -9          65          0.05095          -1.3466          0.06889
-3          -9          70          0.05858          -1.3102          0.05919
-1          -9          70          0.06132          -1.31522          0.04
-1          -9          65          0.05392          -1.35447          0.04535
-1          -9          60          0.03377          -1.3795          0.04938
-1          -9          55          0.01143          -1.38592          0.05064
-1          -9          50          -0.00954          -1.37654          0.04927
-1          -9          45          -0.03207          -1.35485          0.04601
-1          -9          40          -0.05944          -1.31888          0.04181
-1          -9          35          -0.09659          -1.26585          0.03663
-1          -9          30          -0.14373          -1.18745          0.03125
-1          -9          25          -0.19536          -1.07617          0.02621
-1          -9          20          -0.23584          -0.93095          0.02183
-1          -9          15          -0.24312          -0.76882          0.018
-1          -9          10          -0.22063          -0.61905          0.0146
-1          -9          5          -0.18443          -0.49614          0.01156
-1          -9          0          -0.14932          -0.39904          0.00913
1          -9          0          -0.14938          -0.39889          0.00521
1          -9          5          -0.18508          -0.49582          0.00676
1          -9          10          -0.2207          -0.61894          0.00924
1          -9          15          -0.24364          -0.76895          0.01278
1          -9          20          -0.23635          -0.93138          0.01653
1          -9          25          -0.19593          -1.07716          0.01875
1          -9          30          -0.14366          -1.18802          0.01917
1          -9          35          -0.09687          -1.26695          0.01917
1          -9          40          -0.06022          -1.32062          0.01944
1          -9          45          -0.03261          -1.35685          0.01994
1          -9          50          -0.00996          -1.37921          0.02072
1          -9          55          0.01152          -1.38803          0.02145
1          -9          60          0.03443          -1.38178          0.022
1          -9          65          0.05499          -1.35621          0.02157
1          -9          70          0.06251          -1.31675          0.0204
3          -9          70          0.0618          -1.31377          0.00023
3          -9          65          0.05434          -1.3532          -0.00309
3          -9          60          0.03378          -1.37876          -0.00668
3          -9          55          0.01118          -1.38487          -0.00886
3          -9          50          -0.0099          -1.37544          -0.00941
3          -9          45          -0.03174          -1.35311          -0.00767
3          -9          40          -0.059          -1.3176          -0.00439
3          -9          35          -0.09535          -1.26464          0.00026
3          -9          30          -0.14238          -1.1876          0.00559
3          -9          25          -0.19481          -1.07711          0.01006
3          -9          20          -0.23648          -0.93156          0.01048
3          -9          15          -0.24455          -0.76832          0.00699
3          -9          10          -0.22113          -0.61767          0.00355
3          -9          5          -0.18509          -0.49466          0.00177
3          -9          0          -0.14928          -0.39794          0.00105
5          -9          0          -0.14876          -0.39597          -0.00301
5          -9          5          -0.18474          -0.49218          -0.00331
5          -9          10          -0.22165          -0.61482          -0.00238
5          -9          15          -0.24514          -0.76628          0.0009
5          -9          20          -0.23502          -0.9304          0.00378
5          -9          25          -0.19161          -1.07557          0.00012
5          -9          30          -0.13862          -1.18382          -0.00989
5          -9          35          -0.09217          -1.25924          -0.02102
5          -9          40          -0.05649          -1.30982          -0.03039
5          -9          45          -0.02989          -1.3434          -0.03741
5          -9          50          -0.00916          -1.36446          -0.04121
5          -9          55          0.01056          -1.37385          -0.04103
5          -9          60          0.03191          -1.36868          -0.03681
5          -9          65          0.05174          -1.34462          -0.02897
5          -9          70          0.05919          -1.30666          -0.02047
7          -9          70          0.05456          -1.29532          -0.04227
7          -9          65          0.04698          -1.33066          -0.0567
7          -9          60          0.02858          -1.35195          -0.06929
7          -9          55          0.00948          -1.35486          -0.07574
7          -9          50          -0.00812          -1.34611          -0.07566
7          -9          45          -0.02706          -1.32611          -0.06968
7          -9          40          -0.05181          -1.29454          -0.05889
7          -9          35          -0.08642          -1.2478          -0.04474
7          -9          30          -0.13187          -1.17622          -0.0278
7          -9          25          -0.18694          -1.07211          -0.01148
7          -9          20          -0.23451          -0.92838          -0.0037
7          -9          15          -0.24678          -0.76275          -0.00567
7          -9          10          -0.22128          -0.61085          -0.00857
7          -9          5          -0.18408          -0.48843          -0.00858
7          -9          0          -0.14788          -0.39303          -0.00713
9          -9          0          -0.14661          -0.38937          -0.01122
9          -9          5          -0.18292          -0.48363          -0.01392
9          -9          10          -0.22099          -0.60496          -0.01505
9          -9          15          -0.24637          -0.7575          -0.01263
9          -9          20          -0.23203          -0.92473          -0.0114
9          -9          25          -0.17914          -1.06605          -0.02453
9          -9          30          -0.12309          -1.16481          -0.04869
9          -9          35          -0.07859          -1.22998          -0.07141
9          -9          40          -0.04593          -1.27293          -0.08986
9          -9          45          -0.02306          -1.30058          -0.10422
9          -9          50          -0.00645          -1.31777          -0.11214
9          -9          55          0.00795          -1.32746          -0.11323
9          -9          60          0.02369          -1.32627          -0.10419
9          -9          65          0.03961          -1.30914          -0.08629
9          -9          70          0.04733          -1.27838          -0.06462
11          -9          70          0.0373          -1.25651          -0.08774
11          -9          65          0.02929          -1.28          -0.11801
11          -9          60          0.01722          -1.29063          -0.14177
11          -9          55          0.00619          -1.28919          -0.15167
11          -9          50          -0.00446          -1.27997          -0.15058
11          -9          45          -0.01796          -1.26489          -0.14001
11          -9          40          -0.0388          -1.2422          -0.12346
11          -9          35          -0.06942          -1.20526          -0.10114
11          -9          30          -0.111          -1.1466          -0.07234
11          -9          25          -0.1682          -1.05646          -0.03907
11          -9          20          -0.22883          -0.91936          -0.01881
11          -9          15          -0.24809          -0.75006          -0.01975
11          -9          10          -0.22063          -0.59737          -0.02185
11          -9          5          -0.18101          -0.47747          -0.01927
11          -9          0          -0.14516          -0.38461          -0.01527
-13          -7          0          -0.1077          -0.38963          0.02644
-13          -7          5          -0.13419          -0.48261          0.03305
-13          -7          10          -0.16396          -0.60041          0.03874
-13          -7          15          -0.18426          -0.74572          0.03892
-13          -7          20          -0.16809          -0.90244          0.03713
-13          -7          25          -0.11593          -1.02845          0.05441
-13          -7          30          -0.06737          -1.10731          0.08769
-13          -7          35          -0.0347          -1.15211          0.11843
-13          -7          40          -0.01441          -1.17708          0.14135
-13          -7          45          -0.00181          -1.18929          0.15737
-13          -7          50          0.0055          -1.19475          0.16763
-13          -7          55          0.00884          -1.1963          0.1711
-13          -7          60          0.00853          -1.19628          0.16528
-13          -7          65          0.00744          -1.19883          0.14866
-13          -7          70          0.01277          -1.19853          0.12262
-11          -7          70          0.02228          -1.22658          0.10939
-11          -7          65          0.01689          -1.23602          0.1308
-11          -7          60          0.01329          -1.23981          0.14671
-11          -7          55          0.0096          -1.24022          0.15175
-11          -7          50          0.0033          -1.23732          0.1481
-11          -7          45          -0.00644          -1.22796          0.13869
-11          -7          40          -0.02136          -1.20984          0.12307
-11          -7          35          -0.0445          -1.1777          0.10203
-11          -7          30          -0.07909          -1.12302          0.07576
-11          -7          25          -0.12553          -1.03467          0.04979
-11          -7          20          -0.16955          -0.90569          0.03602
-11          -7          15          -0.18249          -0.7518          0.03524
-11          -7          10          -0.16408          -0.60772          0.03429
-11          -7          5          -0.13595          -0.48912          0.02948
-11          -7          0          -0.1094          -0.39469          0.02369
-9          -7          0          -0.11103          -0.39887          0.02086
-9          -7          5          -0.13777          -0.49431          0.02588
-9          -7          10          -0.1642          -0.61374          0.03011
-9          -7          15          -0.18168          -0.75673          0.03186
-9          -7          20          -0.17077          -0.90858          0.03399
-9          -7          25          -0.13249          -1.04003          0.04509
-9          -7          30          -0.08805          -1.13496          0.06531
-9          -7          35          -0.05288          -1.19731          0.08713
-9          -7          40          -0.02779          -1.23638          0.10566
-9          -7          45          -0.01063          -1.2593          0.11934
-9          -7          50          0.00119          -1.27286          0.12805
-9          -7          55          0.01016          -1.2777          0.13144
-9          -7          60          0.01759          -1.2756          0.1267
-9          -7          65          0.02464          -1.26647          0.11307
-9          -7          70          0.03005          -1.25029          0.09528
-7          -7          70          0.0364          -1.26909          0.08093
-7          -7          65          0.03095          -1.29047          0.0949
-7          -7          60          0.02138          -1.30392          0.10572
-7          -7          55          0.01084          -1.30712          0.11001
-7          -7          50          -0.00059          -1.30078          0.10752
-7          -7          45          -0.01431          -1.28442          0.09988
-7          -7          40          -0.03315          -1.25691          0.08826
-7          -7          35          -0.05958          -1.21256          0.07323
-7          -7          30          -0.09576          -1.14448          0.05593
-7          -7          25          -0.13765          -1.04436          0.04038
-7          -7          20          -0.17148          -0.91137          0.03142
-7          -7          15          -0.18036          -0.7606          0.02843
-7          -7          10          -0.16515          -0.6182          0.02607
-7          -7          5          -0.13857          -0.49844          0.02231
-7          -7          0          -0.11226          -0.40225          0.018
-5          -7          0          -0.11326          -0.40468          0.0151
-5          -7          5          -0.1394          -0.50173          0.01872
-5          -7          10          -0.16577          -0.6217          0.02221
-5          -7          15          -0.18082          -0.76371          0.02504
-5          -7          20          -0.1727          -0.91363          0.02836
-5          -7          25          -0.14145          -1.04813          0.03561
-5          -7          30          -0.10101          -1.15136          0.04714
-5          -7          35          -0.06503          -1.22394          0.05989
-5          -7          40          -0.03752          -1.27229          0.07156
-5          -7          45          -0.01734          -1.30357          0.08037
-5          -7          50          -0.00207          -1.32175          0.08626
-5          -7          55          0.0114          -1.32924          0.08824
-5          -7          60          0.02438          -1.32516          0.08524
-5          -7          65          0.03591          -1.30907          0.07684
-5          -7          70          0.04128          -1.28338          0.0661
