% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 25 2023           11:22
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-1          -15          0          -0.2481          -0.36107          0.00912
-1          -15          5          -0.31431          -0.45173          0.0118
-1          -15          10          -0.39437          -0.57731          0.01572
-1          -15          15          -0.46668          -0.76148          0.02141
-1          -15          20          -0.46359          -0.99667          0.02879
-1          -15          25          -0.36834          -1.19189          0.03632
-1          -15          30          -0.26085          -1.31569          0.04346
-1          -15          35          -0.17581          -1.39692          0.05127
-1          -15          40          -0.11348          -1.45234          0.05906
-1          -15          45          -0.06797          -1.49172          0.06571
-1          -15          50          -0.0311          -1.52029          0.07077
-1          -15          55          0.00767          -1.535          0.07297
-1          -15          60          0.05861          -1.53048          0.07053
-1          -15          65          0.12067          -1.48026          0.06214
-1          -15          70          0.13948          -1.37966          0.05105
1          -15          70          0.14183          -1.3813          0.02121
1          -15          65          0.12348          -1.48446          0.02677
1          -15          60          0.06004          -1.53533          0.02925
1          -15          55          0.00771          -1.54159          0.02869
1          -15          50          -0.03155          -1.52583          0.02743
1          -15          45          -0.06879          -1.4979          0.02676
1          -15          40          -0.1145          -1.45882          0.02673
1          -15          35          -0.17616          -1.40244          0.02746
1          -15          30          -0.26116          -1.32163          0.02908
1          -15          25          -0.36978          -1.19788          0.02944
1          -15          20          -0.46587          -1.00106          0.02377
1          -15          15          -0.46801          -0.7631          0.01279
1          -15          10          -0.39467          -0.5777          0.00595
1          -15          5          -0.315          -0.45168          0.00339
1          -15          0          -0.24822          -0.36099          0.00244
-7          -13          0          -0.21254          -0.37151          0.02589
-7          -13          5          -0.26787          -0.46357          0.03267
-7          -13          10          -0.33168          -0.5876          0.03883
-7          -13          15          -0.38566          -0.75882          0.03924
-7          -13          20          -0.37658          -0.96545          0.03523
-7          -13          25          -0.29354          -1.13928          0.04616
-7          -13          30          -0.20011          -1.25326          0.07548
-7          -13          35          -0.12655          -1.32371          0.11017
-7          -13          40          -0.07565          -1.36967          0.14225
-7          -13          45          -0.04083          -1.39937          0.16784
-7          -13          50          -0.01498          -1.41945          0.18543
-7          -13          55          0.00896          -1.42867          0.19353
-7          -13          60          0.03535          -1.4251          0.18612
-7          -13          65          0.06841          -1.39495          0.15952
-7          -13          70          0.0849          -1.33326          0.12829
-5          -13          70          0.09428          -1.34494          0.10078
-5          -13          65          0.07941          -1.4111          0.12288
-5          -13          60          0.04188          -1.44683          0.14184
-5          -13          55          0.00912          -1.45168          0.14799
-5          -13          50          -0.01869          -1.44064          0.14272
-5          -13          45          -0.04793          -1.41869          0.12987
-5          -13          40          -0.08514          -1.38413          0.11111
-5          -13          35          -0.13775          -1.33366          0.0881
-5          -13          30          -0.21059          -1.25732          0.06349
-5          -13          25          -0.30061          -1.13974          0.04291
-5          -13          20          -0.37589          -0.96571          0.03342
-5          -13          15          -0.38467          -0.76291          0.03304
