% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),t_hall_begin,2.362
-0.5905512,-0.39370078,10.03899956,7.67699956,-0.00859847,0.16726617,-0.05988591,"6,310.12",
-0.5905512,-0.39370078,10.23620033,7.87420033,-0.00724326,0.1410062,-0.05005772,"6,431.60",
-0.5905512,-0.39370078,10.43280029,8.07080029,-0.00606477,0.11913722,-0.04182319,"6,553.71",
-0.5905512,-0.39370078,10.62959957,8.26759957,-0.00514848,0.100789,-0.03493012,"6,675.25",
-0.5905512,-0.39370078,10.8263998,8.4643998,-0.00421184,0.08570918,-0.02923293,"6,796.87",
-0.5905512,-0.39370078,11.02340031,8.66140031,-0.00353412,0.07296386,-0.02451382,"6,918.43",
-0.5905512,-0.19685039,0.0002,-2.3618,-0.00249339,0.07448294,0.01375534,72.6261,
-0.5905512,-0.19685039,0.19660001,-2.16539999,-0.00294979,0.08701536,0.01643974,194.5161,
-0.5905512,-0.19685039,0.39340001,-1.96859999,-0.00367223,0.10310185,0.01998543,316.5761,
-0.5905512,-0.19685039,0.59039998,-1.77160002,-0.0044274,0.12254246,0.02423278,438.3061,
-0.5905512,-0.19685039,0.78740001,-1.57459999,-0.00548062,0.14643983,0.02966191,560.2862,
-0.5905512,-0.19685039,0.98400003,-1.37799997,-0.0068591,0.17596376,0.03660179,682.2261,
-0.5905512,-0.19685039,1.18079996,-1.18120004,-0.00864512,0.21198053,0.04560932,804.3661,
-0.5905512,-0.19685039,1.37759995,-0.98440005,-0.01084782,0.25761139,0.05693471,926.2061,
-0.5905512,-0.19685039,1.57459998,-0.78740002,-0.0136193,0.31354884,0.07089863,"1,048.24",
-0.5905512,-0.19685039,1.77139997,-0.59060003,-0.01723702,0.38453974,0.09007923,"1,170.67",
-0.5905512,-0.19685039,1.96819997,-0.39380003,-0.02130353,0.47476329,0.11382008,"1,292.76",
-0.5905512,-0.19685039,2.1652,-0.1968,-0.02444713,0.58849405,0.1422471,"1,414.97",
-0.5905512,-0.19685039,2.36199999,-1E-08,-0.02349588,0.73480262,0.17506248,"1,537.05",
-0.5905512,-0.19685039,2.55879998,0.19679998,-0.0117211,0.90871233,0.19171747,"1,658.82",
-0.5905512,-0.19685039,2.75559998,0.39359998,0.00093031,1.08498253,0.16704901,"1,780.81",
-0.5905512,-0.19685039,2.95239997,0.59039997,-0.0131054,1.21655764,0.11708626,"1,902.86",
-0.5905512,-0.19685039,3.1494,0.7874,-0.04171685,1.29950394,0.07972203,"2,024.85",
-0.5905512,-0.19685039,3.34640002,0.98440002,-0.06359347,1.35146403,0.05827591,"2,146.49",
-0.5905512,-0.19685039,3.54299998,1.18099998,-0.07735865,1.38665833,0.04337737,"2,268.47",
-0.5905512,-0.19685039,3.73979998,1.37779998,-0.08831243,1.40887198,0.03194344,"2,390.30",
-0.5905512,-0.19685039,3.9368,1.5748,-0.09665372,1.42351231,0.0234443,"2,512.34",
-0.5905512,-0.19685039,4.13360023,1.77160023,-0.09755068,1.4290028,0.01481056,"2,634.28",
-0.5905512,-0.19685039,4.33039999,1.96839999,-0.09150405,1.42509073,0.00737044,"2,756.37",
-0.5905512,-0.19685039,4.52740002,2.16540002,-0.07652445,1.41212448,0.00319962,"2,878.58",
-0.5905512,-0.19685039,4.72440004,2.36240004,-0.05784166,1.39446043,0.00153257,"3,000.76",
-0.5905512,-0.19685039,4.921,2.559,-0.0450532,1.37969202,0.00227823,"3,122.75",
-0.5905512,-0.19685039,5.11780024,2.75580024,-0.03746598,1.36815724,0.00360716,"3,244.86",
-0.5905512,-0.19685039,5.31459999,2.95259999,-0.03304805,1.3581365,0.00353707,"3,366.85",
-0.5905512,-0.19685039,5.51179981,3.14979981,-0.02966789,1.34801888,0.00168153,"3,489.00",
-0.5905512,-0.19685039,5.70839977,3.34639977,-0.02678361,1.33619684,-0.00238865,"3,611.22",
-0.5905512,-0.19685039,5.9053998,3.5433998,-0.02345971,1.31932644,-0.00918855,"3,733.39",
-0.5905512,-0.19685039,6.10200024,3.74000024,-0.01980127,1.2949696,-0.01865306,"3,855.89",
-0.5905512,-0.19685039,6.29899979,3.93699979,-0.01656783,1.26028322,-0.02910699,"3,977.70",
-0.5905512,-0.19685039,6.49580002,4.13380002,-0.01466119,1.21514134,-0.03754806,"4,099.55",
-0.5905512,-0.19685039,6.69259977,4.33059977,-0.01362033,1.16457075,-0.04130543,"4,221.94",
-0.5905512,-0.19685039,6.88940001,4.52740001,-0.01219,1.11295952,-0.04133133,"4,343.84",
-0.5905512,-0.19685039,7.08640003,4.72440003,-0.01007541,1.06307301,-0.04043049,"4,466.05",
-0.5905512,-0.19685039,7.28340006,4.92140006,-0.00754477,1.01410736,-0.04100639,"4,587.84",
-0.5905512,-0.19685039,7.48019981,5.11819981,-0.005085,0.96359219,-0.04409806,"4,709.77",
-0.5905512,-0.19685039,7.67679977,5.31479977,-0.00302403,0.909133,-0.04911304,"4,831.76",
-0.5905512,-0.19685039,7.8737998,5.5117998,-0.00160393,0.84940762,-0.05634968,"4,953.52",
-0.5905512,-0.19685039,8.07059956,5.70859956,-0.00118005,0.78289851,-0.06375525,"5,075.49",
-0.5905512,-0.19685039,8.26739979,5.90539979,-0.00185643,0.70969867,-0.07061573,"5,197.05",
-0.5905512,-0.19685039,8.46440029,6.10240029,-0.00349423,0.6323347,-0.07401461,"5,318.74",
-0.5905512,-0.19685039,8.66119957,6.29919957,-0.00540891,0.55367798,-0.0741527,"5,440.54",
-0.5905512,-0.19685039,8.85820007,6.49620007,-0.00696907,0.47767944,-0.07111877,"5,562.15",
-0.5905512,-0.19685039,9.05480003,6.69280003,-0.00788569,0.40773148,-0.06529375,"5,683.71",
-0.5905512,-0.19685039,9.25160027,6.88960027,-0.00798719,0.34528271,-0.05767636,"5,805.31",
-0.5905512,-0.19685039,9.44859982,7.08659982,-0.00750509,0.29124359,-0.04995293,"5,926.82",
-0.5905512,-0.19685039,9.64540005,7.28340005,-0.00676923,0.24499091,-0.04266277,"6,048.52",
-0.5905512,-0.19685039,9.84220028,7.48020028,-0.00594402,0.2059935,-0.03597254,"6,170.01",
-0.5905512,-0.19685039,10.03899956,7.67699956,-0.00516132,0.17333725,-0.03047492,"6,291.75",
-0.5905512,-0.19685039,10.23620033,7.87420033,-0.00436887,0.14609051,-0.02536328,"6,413.19",
-0.5905512,-0.19685039,10.43280029,8.07080029,-0.00368513,0.12348062,-0.02135669,"6,535.36",
-0.5905512,-0.19685039,10.62959957,8.26759957,-0.00308924,0.1044018,-0.01792788,"6,656.92",
-0.5905512,-0.19685039,10.8263998,8.4643998,-0.00261197,0.08869936,-0.01510167,"6,778.49",
-0.5905512,-0.19685039,11.02340031,8.66140031,-0.00215199,0.07547527,-0.01269111,"6,900.10",
-0.5905512,0,0.0002,-2.3618,-0.00071289,0.07542566,0.00129613,54.0061,
-0.5905512,0,0.19660001,-2.16539999,-0.00082359,0.08819949,0.00154938,176.1662,
-0.5905512,0,0.39340001,-1.96859999,-0.00097679,0.10447485,0.00186652,298.0661,
-0.5905512,0,0.59039998,-1.77160002,-0.00114651,0.12437255,0.0021748,419.9661,
-0.5905512,0,0.78740001,-1.57459999,-0.00129749,0.14868322,0.00264298,541.8061,
-0.5905512,0,0.98400003,-1.37799997,-0.00153814,0.17883187,0.00326674,663.7861,
-0.5905512,0,1.18079996,-1.18120004,-0.00184504,0.21571912,0.00423876,785.9361,
-0.5905512,0,1.37759995,-0.98440005,-0.00205909,0.2619018,0.00501409,907.7886,
-0.5905512,0,1.57459998,-0.78740002,-0.00239246,0.3194518,0.00584156,"1,029.80",
-0.5905512,0,1.77139997,-0.59060003,-0.00267656,0.39172258,0.00769589,"1,152.16",
-0.5905512,0,1.96819997,-0.39380003,-0.00298264,0.48388771,0.00981475,"1,274.24",
-0.5905512,0,2.1652,-0.1968,-0.00324062,0.598743,0.01221441,"1,396.41",
-0.5905512,0,2.36199999,-1E-08,-0.00314905,0.74150676,0.01415062,"1,518.62",
-0.5905512,0,2.55879998,0.19679998,-0.00297496,0.90533079,0.01502209,"1,640.30",
-0.5905512,0,2.75559998,0.39359998,-0.00424692,1.06636366,0.01463519,"1,762.45",
-0.5905512,0,2.95239997,0.59039997,-0.00651026,1.18872818,0.01419331,"1,884.43",
-0.5905512,0,3.1494,0.7874,-0.00777576,1.26886295,0.01438665,"2,006.21",
-0.5905512,0,3.34640002,0.98440002,-0.00788253,1.3206798,0.01492192,"2,128.00",
-0.5905512,0,3.54299998,1.18099998,-0.00832884,1.35611738,0.01478791,"2,249.94",
-0.5905512,0,3.73979998,1.37779998,-0.00849669,1.37870373,0.01434882,"2,371.91",
-0.5905512,0,3.9368,1.5748,-0.00844016,1.39182772,0.0139103,"2,493.94",
-0.5905512,0,4.13360023,1.77160023,-0.00887039,1.39662041,0.01398934,"2,615.83",
-0.5905512,0,4.33039999,1.96839999,-0.00906,1.39519123,0.01403194,"2,737.86",
-0.5905512,0,4.52740002,2.16540002,-0.00893577,1.38870501,0.01448443,"2,859.75",
-0.5905512,0,4.72440004,2.36240004,-0.00846012,1.3797501,0.01462838,"2,982.24",
-0.5905512,0,4.921,2.559,-0.00787326,1.36962885,0.01439182,"3,104.33",
-0.5905512,0,5.11780024,2.75580024,-0.00790299,1.35950321,0.0140546,"3,226.38",
-0.5905512,0,5.31459999,2.95259999,-0.00794277,1.34954685,0.01354073,"3,348.41",
-0.5905512,0,5.51179981,3.14979981,-0.00828866,1.33928093,0.01290031,"3,470.50",
-0.5905512,0,5.70839977,3.34639977,-0.00830846,1.32689089,0.01216511,"3,592.72",
-0.5905512,0,5.9053998,3.5433998,-0.00840297,1.30974859,0.01139356,"3,714.95",
-0.5905512,0,6.10200024,3.74000024,-0.0082876,1.28545708,0.01074828,"3,837.48",
-0.5905512,0,6.29899979,3.93699979,-0.0082878,1.25243515,0.01002255,"3,959.27",
-0.5905512,0,6.49580002,4.13380002,-0.00826073,1.21057781,0.00936866,"4,081.17",
-0.5905512,0,6.69259977,4.33059977,-0.00812597,1.16280111,0.00914465,"4,203.35",
-0.5905512,0,6.88940001,4.52740001,-0.00802374,1.11291117,0.00900427,"4,325.41",
-0.5905512,0,7.08640003,4.72440003,-0.00764023,1.06315636,0.00917226,"4,447.59",
-0.5905512,0,7.28340006,4.92140006,-0.00723127,1.01378311,0.00895025,"4,569.49",
-0.5905512,0,7.48019981,5.11819981,-0.00677314,0.96279778,0.00867847,"4,691.38",
-0.5905512,0,7.67679977,5.31479977,-0.00620668,0.90784458,0.00786908,"4,813.34",
-0.5905512,0,7.8737998,5.5117998,-0.0055529,0.84739784,0.00749733,"4,935.13",
-0.5905512,0,8.07059956,5.70859956,-0.00495239,0.78104419,0.00656293,"5,057.05",
-0.5905512,0,8.26739979,5.90539979,-0.00439216,0.70849041,0.00527359,"5,178.80",
-0.5905512,0,8.46440029,6.10240029,-0.00394109,0.63205718,0.00442007,"5,300.30",
-0.5905512,0,8.66119957,6.29919957,-0.0035602,0.55454797,0.00285953,"5,422.17",
-0.5905512,0,8.85820007,6.49620007,-0.00319816,0.47953533,0.00201552,"5,543.88",
-0.5905512,0,9.05480003,6.69280003,-0.00284854,0.41027526,0.00096883,"5,665.36",
-0.5905512,0,9.25160027,6.88960027,-0.00250974,0.34801459,0.00065615,"5,786.93",
-0.5905512,0,9.44859982,7.08659982,-0.00220319,0.29406258,0.00050404,"5,908.46",
-0.5905512,0,9.64540005,7.28340005,-0.00200193,0.24751517,-0.00019587,"6,030.26",
-0.5905512,0,9.84220028,7.48020028,-0.00166061,0.20823435,0.00001321,"6,151.64",
-0.5905512,0,10.03899956,7.67699956,-0.00146043,0.17537631,-0.0001513,"6,273.35",
-0.5905512,0,10.23620033,7.87420033,-0.00126388,0.14772684,-0.00046994,"6,394.85",
-0.5905512,0,10.43280029,8.07080029,-0.0010881,0.12492295,-0.00038296,"6,516.71",
-0.5905512,0,10.62959957,8.26759957,-0.00097177,0.10560481,-0.00053092,"6,638.60",
-0.5905512,0,10.8263998,8.4643998,-0.00084002,0.0897749,-0.00047517,"6,760.19",
-0.5905512,0,11.02340031,8.66140031,-0.00062853,0.07633522,-0.0004639,"6,881.78",
-0.5905512,0.19685039,0.0002,-2.3618,0.00107034,0.0745344,-0.01108512,35.5461,
-0.5905512,0.19685039,0.19660001,-2.16539999,0.00136761,0.08714326,-0.01322615,157.8161,
-0.5905512,0.19685039,0.39340001,-1.96859999,0.00180013,0.10319896,-0.01626345,279.6561,
-0.5905512,0.19685039,0.59039998,-1.77160002,0.00230043,0.12275126,-0.01975761,401.4961,
-0.5905512,0.19685039,0.78740001,-1.57459999,0.00304471,0.14661388,-0.02421909,523.2762,
-0.5905512,0.19685039,0.98400003,-1.37799997,0.00398798,0.17612851,-0.0300486,645.3861,
-0.5905512,0.19685039,1.18079996,-1.18120004,0.00529349,0.21237044,-0.03718406,767.4564,
-0.5905512,0.19685039,1.37759995,-0.98440005,0.00707471,0.25740852,-0.04652272,889.3361,
-0.5905512,0.19685039,1.57459998,-0.78740002,0.00938263,0.31387664,-0.05878344,"1,011.35",
-0.5905512,0.19685039,1.77139997,-0.59060003,0.01231693,0.38500456,-0.07358634,"1,133.64",
-0.5905512,0.19685039,1.96819997,-0.39380003,0.01594516,0.475249,-0.09442376,"1,255.73",
-0.5905512,0.19685039,2.1652,-0.1968,0.01876908,0.58893465,-0.11783136,"1,377.99",
-0.5905512,0.19685039,2.36199999,-1E-08,0.01744834,0.73358573,-0.14529993,"1,500.17",
-0.5905512,0.19685039,2.55879998,0.19679998,0.00423719,0.9076095,-0.16068788,"1,621.95",
-0.5905512,0.19685039,2.75559998,0.39359998,-0.01177392,1.08251213,-0.13712804,"1,744.03",
-0.5905512,0.19685039,2.95239997,0.59039997,-0.00017034,1.21106657,-0.08513512,"1,865.93",
-0.5905512,0.19685039,3.1494,0.7874,0.02795905,1.29058699,-0.04779139,"1,987.84",
-0.5905512,0.19685039,3.34640002,0.98440002,0.04989653,1.34074978,-0.02640356,"2,109.65",
-0.5905512,0.19685039,3.54299998,1.18099998,0.06373219,1.37513069,-0.01231306,"2,231.54",
-0.5905512,0.19685039,3.73979998,1.37779998,0.07572093,1.39616007,-0.00183434,"2,353.59",
-0.5905512,0.19685039,3.9368,1.5748,0.08329813,1.40941185,0.00557618,"2,475.59",
-0.5905512,0.19685039,4.13360023,1.77160023,0.08297968,1.41425442,0.0132905,"2,597.36",
-0.5905512,0.19685039,4.33039999,1.96839999,0.07682933,1.41145987,0.01992861,"2,719.57",
-0.5905512,0.19685039,4.52740002,2.16540002,0.06202215,1.40076231,0.02384567,"2,841.37",
-0.5905512,0.19685039,4.72440004,2.36240004,0.04402781,1.38754811,0.02595317,"2,963.78",
-0.5905512,0.19685039,4.921,2.559,0.03105637,1.37444805,0.0255943,"3,085.96",
-0.5905512,0.19685039,5.11780024,2.75580024,0.02359515,1.36391892,0.02402907,"3,207.94",
-0.5905512,0.19685039,5.31459999,2.95259999,0.01868496,1.35486931,0.02322682,"3,329.97",
-0.5905512,0.19685039,5.51179981,3.14979981,0.01522091,1.34499249,0.0238076,"3,452.06",
-0.5905512,0.19685039,5.70839977,3.34639977,0.01194797,1.3337376,0.0265047,"3,574.26",
-0.5905512,0.19685039,5.9053998,3.5433998,0.00835449,1.31748451,0.03174636,"3,696.44",
-0.5905512,0.19685039,6.10200024,3.74000024,0.00454523,1.29368433,0.03964446,"3,818.96",
-0.5905512,0.19685039,6.29899979,3.93699979,0.00120876,1.25974325,0.04855359,"3,940.91",
-0.5905512,0.19685039,6.49580002,4.13380002,-0.001009,1.21583904,0.05624365,"4,062.72",
-0.5905512,0.19685039,6.69259977,4.33059977,-0.00228605,1.16599421,0.05947098,"4,184.78",
-0.5905512,0.19685039,6.88940001,4.52740001,-0.00352438,1.11448588,0.05941371,"4,307.00",
-0.5905512,0.19685039,7.08640003,4.72440003,-0.00527038,1.06451496,0.05853126,"4,428.86",
-0.5905512,0.19685039,7.28340006,4.92140006,-0.0071602,1.01515831,0.05919227,"4,551.08",
-0.5905512,0.19685039,7.48019981,5.11819981,-0.00860184,0.96442408,0.06152828,"4,672.94",
-0.5905512,0.19685039,7.67679977,5.31479977,-0.00967769,0.90995735,0.06557655,"4,794.80",
-0.5905512,0.19685039,7.8737998,5.5117998,-0.00991317,0.85016894,0.07109452,"4,916.74",
