% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-2.999988077          -12.9984338          145.0580461          0.131819545          -0.903090091          0.015941091
-3.000056465          -12.99842798          150.0581894          0.147524545          -0.854061091          0.014065091
-3.000133925          -12.99822683          155.0579727          0.165047545          -0.796585091          0.012592091
-3.000020298          -12.99819206          160.0582443          0.181446545          -0.729904091          0.011605091
-2.999880034          -12.99801187          165.058129          0.192558545          -0.655219091          0.011067091
-2.999935446          -12.99834278          170.0582527          0.196135545          -0.576037091          0.010921091
-3.000233719          -12.99806839          175.057952          0.190581545          -0.496930091          0.010800091
-2.99993635          -12.99843126          180.0579479          0.177213545          -0.422638091          0.010478091
-1.000194382          -12.99841356          180.0582975          0.177202545          -0.422912091          0.008864091
-0.999991751          -12.99805069          175.0583016          0.190393545          -0.497084091          0.009720091
-1.000193478          -12.99832508          170.0581023          0.195982545          -0.575844091          0.010571091
-1.000138066          -12.99799418          165.0579786          0.192595545          -0.654924091          0.011435091
-0.99977833          -12.99817436          160.0580939          0.181178545          -0.729515091          0.012406091
-0.999891957          -12.99820913          155.0583223          0.165018545          -0.796218091          0.013486091
-0.999814497          -12.99841028          150.058039          0.147729545          -0.853814091          0.014599091
-1.000246109          -12.9984161          145.0578957          0.132393545          -0.903062091          0.015810091
-1.000077321          -12.9980856          140.057931          0.121365545          -0.945691091          0.017183091
-1.000089569          -12.99808948          135.058217          0.116047545          -0.985122091          0.018635091
-1.000155793          -12.99838682          130.0580253          0.116189545          -1.024821091          0.020328091
-0.9998541          -12.99827102          125.0580821          0.118958545          -1.068793091          0.022224091
-0.999877233          -12.9981281          120.057685          0.117941545          -1.117624091          0.024216091
-0.999802592          -12.99819087          115.0581423          0.107523545          -1.165782091          0.026314091
-0.999937687          -12.99804194          110.057968          0.089385545          -1.204820091          0.028462091
1.000046305          -12.9979974          110.0581548          0.089801545          -1.205468091          0.019687091
1.0001814          -12.99814634          115.0583291          0.107953545          -1.166294091          0.018990091
1.000106759          -12.99808357          120.0583717          0.118190545          -1.117996091          0.018053091
1.000129892          -12.99822649          125.0582689          0.119321545          -1.069202091          0.017261091
0.999828199          -12.99834229          130.058212          0.116522545          -1.025119091          0.016705091
0.999894423          -12.99804495          135.0579038          0.116113545          -0.985179091          0.016354091
0.999906671          -12.99804107          140.0581177          0.121367545          -0.945909091          0.016080091
1.000237883          -12.99837157          145.0580824          0.132487545          -0.902938091          0.015694091
1.000169495          -12.99836575          150.0582258          0.147826545          -0.853878091          0.015137091
1.000092035          -12.9981646          155.0580091          0.165054545          -0.795910091          0.014316091
1.000205662          -12.99812983          160.0582806          0.181431545          -0.729460091          0.013193091
0.999845926          -12.99844965          165.0581654          0.192726545          -0.654923091          0.011800091
0.999790514          -12.99828055          170.0582891          0.195839545          -0.575779091          0.010228091
0.999992241          -12.99800616          175.0579883          0.190350545          -0.496922091          0.008662091
